condition,setting,subset,seed,auroc,n_systems
none,holo,all,2024,0.9192113636467575,1835
none,holo,homo,2024,0.9243522169951567,1558
none,holo,hetero,2024,0.8902963834416823,277
none,holo,all,2025,0.922807915148513,1835
none,holo,homo,2025,0.9279305588741614,1558
none,holo,hetero,2025,0.8939953558540704,277
none,holo,all,2026,0.9216444302335389,1835
none,holo,homo,2026,0.9265644927950186,1558
none,holo,hetero,2026,0.8939712985700546,277
sigma_0.1,holo,all,2024,0.9238378689937314,1835
sigma_0.1,holo,homo,2024,0.9286232858657403,1558
sigma_0.1,holo,hetero,2024,0.8969220585728291,277
sigma_0.1,holo,all,2025,0.9222564722348471,1835
sigma_0.1,holo,homo,2025,0.9270453006684161,1558
sigma_0.1,holo,hetero,2025,0.8953214733196825,277
sigma_0.1,holo,all,2026,0.9236444389262195,1835
sigma_0.1,holo,homo,2026,0.9287191377195426,1558
sigma_0.1,holo,hetero,2026,0.895101548240308,277
sigma_0.3,holo,all,2024,0.9260329155739517,1835
sigma_0.3,holo,homo,2024,0.9309313695239085,1558
sigma_0.3,holo,hetero,2024,0.8984813225991041,277
sigma_0.3,holo,all,2025,0.9259012612728448,1835
sigma_0.3,holo,homo,2025,0.9307825673856002,1558
sigma_0.3,holo,hetero,2025,0.898446117144063,277
sigma_0.3,holo,all,2026,0.926541157963963,1835
sigma_0.3,holo,homo,2026,0.9312230516446773,1558
sigma_0.3,holo,hetero,2026,0.9002076187778517,277
sigma_0.5,holo,all,2024,0.9243842798338319,1835
sigma_0.5,holo,homo,2024,0.9292436704160846,1558
sigma_0.5,holo,hetero,2024,0.8970524006744469,277
sigma_0.5,holo,all,2025,0.9229227296597726,1835
sigma_0.5,holo,homo,2025,0.9279514781898225,1558
sigma_0.5,holo,hetero,2025,0.8946382884690943,277
sigma_0.5,holo,all,2026,0.9252569483188362,1835
sigma_0.5,holo,homo,2026,0.9301748295057116,1558
sigma_0.5,holo,hetero,2026,0.8975960859031259,277
sigma_0.75,holo,all,2024,0.9195415795976555,1835
sigma_0.75,holo,homo,2024,0.9249167871370284,1558
sigma_0.75,holo,hetero,2024,0.8893084628238536,277
sigma_0.75,holo,all,2025,0.9171725084362276,1835
sigma_0.75,holo,homo,2025,0.9220335624392719,1558
sigma_0.75,holo,hetero,2025,0.889831273285531,277
sigma_0.75,holo,all,2026,0.9216171484207107,1835
sigma_0.75,holo,homo,2026,0.9267786397919234,1558
sigma_0.75,holo,hetero,2026,0.8925860886504965,277
sigma_1.0,holo,all,2024,0.9096087541291558,1835
sigma_1.0,holo,homo,2024,0.9145548488071302,1558
sigma_1.0,holo,hetero,2024,0.8817892035577318,277
sigma_1.0,holo,all,2025,0.9092584873178703,1835
sigma_1.0,holo,homo,2025,0.9139001899201002,1558
sigma_1.0,holo,hetero,2025,0.8831510048114645,277
sigma_1.0,holo,all,2026,0.9095607711480947,1835
sigma_1.0,holo,homo,2026,0.9146048038241786,1558
sigma_1.0,holo,hetero,2026,0.8811903635331533,277
none,apo,all,2024,0.8624824653202203,309
none,apo,homo,2024,0.8645328486111037,277
none,apo,hetero,2024,0.8447338349585114,32
none,apo,all,2025,0.864781322273163,309
none,apo,homo,2025,0.8663638482679064,277
none,apo,hetero,2025,0.8510825816311659,32
none,apo,all,2026,0.8647126658111184,309
none,apo,homo,2026,0.8657431083108141,277
none,apo,hetero,2026,0.8557928979231268,32
sigma_0.1,apo,all,2024,0.8678870215768109,309
sigma_0.1,apo,homo,2024,0.8693294611217205,277
sigma_0.1,apo,hetero,2024,0.8554009042661868,32
sigma_0.1,apo,all,2025,0.8642918404837199,309
sigma_0.1,apo,homo,2025,0.8652294931227927,277
sigma_0.1,apo,hetero,2025,0.8561752848267453,32
sigma_0.1,apo,all,2026,0.8669586088372889,309
sigma_0.1,apo,homo,2026,0.8685925277046757,277
sigma_0.1,apo,hetero,2026,0.852814998641472,32
sigma_0.3,apo,all,2024,0.8683519283718486,309
sigma_0.3,apo,homo,2024,0.8695459507125952,277
sigma_0.3,apo,hetero,2024,0.8580161724847611,32
sigma_0.3,apo,all,2025,0.8731998049664274,309
sigma_0.3,apo,homo,2025,0.8742936662077655,277
sigma_0.3,apo,hetero,2025,0.8637310685960937,32
sigma_0.3,apo,all,2026,0.8702577961173157,309
sigma_0.3,apo,homo,2026,0.8707070829254597,277
sigma_0.3,apo,hetero,2026,0.8663686571843184,32
sigma_0.5,apo,all,2024,0.8718950702975076,309
sigma_0.5,apo,homo,2024,0.8728084074433874,277
sigma_0.5,apo,hetero,2024,0.8639889956284852,32
sigma_0.5,apo,all,2025,0.8693207155882292,309
sigma_0.5,apo,homo,2025,0.8704045256263983,277
sigma_0.5,apo,hetero,2025,0.8599389849453286,32
sigma_0.5,apo,all,2026,0.8692657923650148,309
sigma_0.5,apo,homo,2026,0.8691700665013825,277
sigma_0.5,apo,hetero,2026,0.8700944193720825,32
sigma_0.75,apo,all,2024,0.8714104542308696,309
sigma_0.75,apo,homo,2024,0.8720311217380803,277
sigma_0.75,apo,hetero,2024,0.8660378011215759,32
sigma_0.75,apo,all,2025,0.8706585068341437,309
sigma_0.75,apo,homo,2025,0.8712748874016415,277
sigma_0.75,apo,hetero,2025,0.8653229625467408,32
sigma_0.75,apo,all,2026,0.872538261388874,309
sigma_0.75,apo,homo,2026,0.8731544965565143,277
sigma_0.75,apo,hetero,2026,0.8672039757189877,32
sigma_1.0,apo,all,2024,0.8625172191638794,309
sigma_1.0,apo,homo,2024,0.8628596683683631,277
sigma_1.0,apo,hetero,2024,0.8595528932375656,32
sigma_1.0,apo,all,2025,0.8640302851422403,309
sigma_1.0,apo,homo,2025,0.8645274298330775,277
sigma_1.0,apo,hetero,2025,0.8597268764121816,32
sigma_1.0,apo,all,2026,0.8674609776491371,309
sigma_1.0,apo,homo,2026,0.8669963228319212,277
sigma_1.0,apo,hetero,2026,0.8714831459106618,32
none,af2,all,2024,0.8529360700000588,1582
none,af2,homo,2024,0.8607748144940253,1366
none,af2,hetero,2024,0.8033632691724759,216
none,af2,all,2025,0.8570628274259281,1582
none,af2,homo,2025,0.8639295524946142,1366
none,af2,hetero,2025,0.8136371494452553,216
none,af2,all,2026,0.8539158640299412,1582
none,af2,homo,2026,0.8608510325951773,1366
none,af2,hetero,2026,0.8100573443071999,216
sigma_0.1,af2,all,2024,0.8635381315347971,1582
sigma_0.1,af2,homo,2024,0.8695130106238016,1366
sigma_0.1,af2,hetero,2024,0.8257525535922967,216
sigma_0.1,af2,all,2025,0.8587802553740576,1582
sigma_0.1,af2,homo,2025,0.8653559478927023,1366
sigma_0.1,af2,hetero,2025,0.8171950887978136,216
sigma_0.1,af2,all,2026,0.8590526304420801,1582
sigma_0.1,af2,homo,2026,0.865754558445562,1366
sigma_0.1,af2,hetero,2026,0.8166691413089489,216
sigma_0.3,af2,all,2024,0.8646168609695555,1582
sigma_0.3,af2,homo,2024,0.8712481501215011,1366
sigma_0.3,af2,hetero,2024,0.8226800971660482,216
sigma_0.3,af2,all,2025,0.8667811458674883,1582
sigma_0.3,af2,homo,2025,0.8729502365035968,1366
sigma_0.3,af2,hetero,2025,0.827767359715062,216
sigma_0.3,af2,all,2026,0.8606076157601632,1582
sigma_0.3,af2,homo,2026,0.8669981577595256,1366
sigma_0.3,af2,hetero,2026,0.820193354782714,216
sigma_0.5,af2,all,2024,0.8591628130875204,1582
sigma_0.5,af2,homo,2024,0.8664180733439042,1366
sigma_0.5,af2,hetero,2024,0.8132800097994635,216
sigma_0.5,af2,all,2025,0.8656244146555376,1582
sigma_0.5,af2,homo,2025,0.8715459026221882,1366
sigma_0.5,af2,hetero,2025,0.8281764861257009,216
sigma_0.5,af2,all,2026,0.8607223662338828,1582
sigma_0.5,af2,homo,2026,0.8673796418587184,1366
sigma_0.5,af2,hetero,2026,0.8186212620508951,216
sigma_0.75,af2,all,2024,0.8588647853240542,1582
sigma_0.75,af2,homo,2024,0.8662088380297874,1366
sigma_0.75,af2,hetero,2024,0.8124204520090925,216
sigma_0.75,af2,all,2025,0.8617300877410438,1582
sigma_0.75,af2,homo,2025,0.8685496767475016,1366
sigma_0.75,af2,hetero,2025,0.8186025017094634,216
sigma_0.75,af2,all,2026,0.859445434533389,1582
sigma_0.75,af2,homo,2026,0.8668716517242225,1366
sigma_0.75,af2,hetero,2026,0.812481486928395,216
sigma_1.0,af2,all,2024,0.8512862482449908,1582
sigma_1.0,af2,homo,2024,0.8590432378584054,1366
sigma_1.0,af2,hetero,2024,0.8022304713379329,216
sigma_1.0,af2,all,2025,0.8538595435910454,1582
sigma_1.0,af2,homo,2025,0.8607477905431516,1366
sigma_1.0,af2,hetero,2025,0.8102977596254106,216
sigma_1.0,af2,all,2026,0.8540764379748991,1582
sigma_1.0,af2,homo,2026,0.860951094846406,1366
sigma_1.0,af2,hetero,2026,0.810600598685646,216
