condition,setting,subset,auroc_mean,auroc_std,n_seeds,n_systems
none,af2,all,0.8546382538186427,0.0021561347286537897,3,1582
none,af2,hetero,0.8090192543083105,0.005215014582836534,3,216
none,af2,homo,0.8618517998612724,0.0017997900721349275,3,1366
none,apo,all,0.863992151134834,0.001307876856427732,3,309
none,apo,hetero,0.8505364381709347,0.0055497227789500945,3,32
none,apo,homo,0.8655466017299415,0.0009311826153057192,3,277
none,holo,all,0.9212212363429364,0.001835242621011567,3,1835
none,holo,hetero,0.892754345955269,0.002128691963830633,3,277
none,holo,homo,0.9262824228881122,0.0018057699812120114,3,1558
sigma_0.1,af2,all,0.8604570057836449,0.002671806311323851,3,1582
sigma_0.1,af2,hetero,0.8198722612330197,0.005099267973267315,3,216
sigma_0.1,af2,homo,0.8668745056540219,0.0022936878492673647,3,1366
sigma_0.1,apo,all,0.8663791569659399,0.0018663212816761021,3,309
sigma_0.1,apo,hetero,0.8547970625781347,0.001759644680015473,3,32
sigma_0.1,apo,homo,0.8677171606497297,0.0021856658044453183,3,277
sigma_0.1,holo,all,0.9232462600515993,0.0008626202753227189,3,1835
sigma_0.1,holo,hetero,0.8957816933776065,0.000993688252919788,3,277
sigma_0.1,holo,homo,0.9281292414178997,0.000939942847072444,3,1558
sigma_0.3,af2,all,0.864001874199069,0.0031323753035703743,3,1582
sigma_0.3,af2,hetero,0.8235469372212747,0.003860692481902255,3,216
sigma_0.3,af2,homo,0.8703988481282079,0.003065582448861099,3,1366
sigma_0.3,apo,all,0.8706031764851971,0.002442323190725299,3,309
sigma_0.3,apo,hetero,0.8627052994217245,0.004269678203729059,3,32
sigma_0.3,apo,homo,0.8715155666152734,0.0024749616185490955,3,277
sigma_0.3,holo,all,0.9261584449369198,0.0003379129467057971,3,1835
sigma_0.3,holo,hetero,0.8990450195070062,0.0010069943666396683,3,277
sigma_0.3,holo,homo,0.9309789961847287,0.0002240710149469375,3,1558
sigma_0.5,af2,all,0.8618365313256469,0.0033718090982038265,3,1582
sigma_0.5,af2,hetero,0.8200259193253533,0.007546923100082223,3,216
sigma_0.5,af2,homo,0.8684478726082703,0.0027257101785631466,3,1366
sigma_0.5,apo,all,0.8701605260835837,0.0015024103509542073,3,309
sigma_0.5,apo,hetero,0.8646741333152987,0.005112266849103595,3,32
sigma_0.5,apo,homo,0.8707943331903895,0.0018502280008895447,3,277
sigma_0.5,holo,all,0.9241879859374803,0.0011794247145913315,3,1835
sigma_0.5,holo,hetero,0.8964289250155556,0.0015743833199425544,3,277
sigma_0.5,holo,homo,0.9291233260372063,0.0011165504223330746,3,1558
sigma_0.75,af2,all,0.8600134358661623,0.00151474704842947,3,1582
sigma_0.75,af2,hetero,0.8145014802156503,0.0035517199051841404,3,216
sigma_0.75,af2,homo,0.8672100555005038,0.0012065526563057839,3,1366
sigma_0.75,apo,all,0.8715357408179624,0.0009461193599046342,3,309
sigma_0.75,apo,hetero,0.8661882464624348,0.0009494882774322192,3,32
sigma_0.75,apo,homo,0.8721535018987453,0.0009457617678695434,3,277
sigma_0.75,holo,all,0.9194437454848646,0.0022239345276189692,3,1835
sigma_0.75,holo,hetero,0.8905752749199604,0.0017609263439719238,3,277
sigma_0.75,holo,homo,0.924576329789408,0.0023907892368050963,3,1558
sigma_1.0,af2,all,0.8530740766036451,0.0015520980875715496,3,1582
sigma_1.0,af2,hetero,0.8077096098829966,0.004747488522482428,3,216
sigma_1.0,af2,homo,0.8602473744159876,0.0010477555997989527,3,1366
sigma_1.0,apo,all,0.8646694939850855,0.002533106383221684,3,309
sigma_1.0,apo,hetero,0.8635876385201363,0.006838263321315133,3,32
sigma_1.0,apo,homo,0.8647944736777872,0.002081216434916563,3,277
sigma_1.0,holo,all,0.9094760041983735,0.00018989677879254944,3,1835
sigma_1.0,holo,hetero,0.8820435239674499,0.001004757537246584,3,277
sigma_1.0,holo,homo,0.9143532808504697,0.0003931824249878981,3,1558
