method,setting,seed,auroc,n_systems,file
Alpha Complex,holo,2024,0.9210619641845983,1835,alpha_complex_s2024_provided_holo.csv
Alpha Complex,holo,2025,0.9200989842701999,1835,alpha_complex_s2025_provided_holo.csv
Alpha Complex,holo,2026,0.9193073269808699,1835,alpha_complex_s2026_provided_holo.csv
EDTsurf gs=0.3,holo,2024,0.9160975235486446,1835,edtsurf_gs0.3_s2024_provided_holo.csv
EDTsurf gs=0.3,holo,2025,0.9185609700238675,1835,edtsurf_gs0.3_s2025_provided_holo.csv
EDTsurf gs=0.3,holo,2026,0.9187107929520645,1835,edtsurf_gs0.3_s2026_provided_holo.csv
EDTsurf gs=0.4,holo,2024,0.9286127263254986,1835,edtsurf_gs0.4_s2024_provided_holo.csv
EDTsurf gs=0.4,holo,2025,0.9292261768888708,1835,edtsurf_gs0.4_s2025_provided_holo.csv
EDTsurf gs=0.4,holo,2026,0.9280381343561162,1835,edtsurf_gs0.4_s2026_provided_holo.csv
EDTsurf gs=0.5,holo,2024,0.9305270122607878,1835,edtsurf_gs0.5_s2024_provided_holo.csv
EDTsurf gs=0.5,holo,2025,0.9367715947375287,1835,edtsurf_gs0.5_s2025_provided_holo.csv
EDTsurf gs=0.5,holo,2026,0.9358458254415413,1835,edtsurf_gs0.5_s2026_provided_holo.csv
NanoShaper gs=0.4,holo,2024,0.95285085847208,1835,nanoshaper_gs0.4_s2024_provided_holo.csv
NanoShaper gs=0.4,holo,2025,0.9528642391053501,1835,nanoshaper_gs0.4_s2025_provided_holo.csv
NanoShaper gs=0.4,holo,2026,0.9504039173123258,1835,nanoshaper_gs0.4_s2026_provided_holo.csv
NanoShaper gs=0.5,holo,2024,0.9511885571313893,1835,nanoshaper_gs0.5_s2024_provided_holo.csv
NanoShaper gs=0.5,holo,2025,0.9534198822966715,1835,nanoshaper_gs0.5_s2025_provided_holo.csv
NanoShaper gs=0.5,holo,2026,0.9490436953653757,1835,nanoshaper_gs0.5_s2026_provided_holo.csv
MSMS,holo,2024,0.943836701860185,1835,msms_0.1_dist2.0_s2024_provided_holo.csv
MSMS,holo,2025,0.9456578695595121,1835,msms_0.1_dist2.0_s2025_provided_holo.csv
MSMS,holo,2026,0.9438686106305129,1835,msms_0.1_dist2.0_s2026_provided_holo.csv
Alpha Complex,apo,2024,0.8632337203556204,309,alpha_complex_s2024_provided_apo.csv
Alpha Complex,apo,2025,0.8645775154075344,309,alpha_complex_s2025_provided_apo.csv
Alpha Complex,apo,2026,0.8612662985164634,309,alpha_complex_s2026_provided_apo.csv
EDTsurf gs=0.3,apo,2024,0.8562033401033734,309,edtsurf_gs0.3_s2024_provided_apo.csv
EDTsurf gs=0.3,apo,2025,0.8602821952794679,309,edtsurf_gs0.3_s2025_provided_apo.csv
EDTsurf gs=0.3,apo,2026,0.8616109644012063,309,edtsurf_gs0.3_s2026_provided_apo.csv
EDTsurf gs=0.4,apo,2024,0.8688265260370451,309,edtsurf_gs0.4_s2024_provided_apo.csv
EDTsurf gs=0.4,apo,2025,0.8671574701076628,309,edtsurf_gs0.4_s2025_provided_apo.csv
EDTsurf gs=0.4,apo,2026,0.8685301395405417,309,edtsurf_gs0.4_s2026_provided_apo.csv
EDTsurf gs=0.5,apo,2024,0.8681126907293035,309,edtsurf_gs0.5_s2024_provided_apo.csv
EDTsurf gs=0.5,apo,2025,0.867954531204464,309,edtsurf_gs0.5_s2025_provided_apo.csv
EDTsurf gs=0.5,apo,2026,0.8686320538333049,309,edtsurf_gs0.5_s2026_provided_apo.csv
NanoShaper gs=0.4,apo,2024,0.7501116696468549,309,nanoshaper_gs0.4_s2024_provided_apo.csv
NanoShaper gs=0.4,apo,2025,0.7491562886033949,309,nanoshaper_gs0.4_s2025_provided_apo.csv
NanoShaper gs=0.4,apo,2026,0.7540385904770157,309,nanoshaper_gs0.4_s2026_provided_apo.csv
NanoShaper gs=0.5,apo,2024,0.7579358725970426,309,nanoshaper_gs0.5_s2024_provided_apo.csv
NanoShaper gs=0.5,apo,2025,0.7626609424868207,309,nanoshaper_gs0.5_s2025_provided_apo.csv
NanoShaper gs=0.5,apo,2026,0.7481196498093812,309,nanoshaper_gs0.5_s2026_provided_apo.csv
MSMS,apo,2024,0.7332920100100446,309,msms_0.1_dist2.0_s2024_provided_apo.csv
MSMS,apo,2025,0.7401214676637519,309,msms_0.1_dist2.0_s2025_provided_apo.csv
MSMS,apo,2026,0.7499859600098907,309,msms_0.1_dist2.0_s2026_provided_apo.csv
Alpha Complex,af2,2024,0.8584239017736948,1582,alpha_complex_s2024_provided_af2.csv
Alpha Complex,af2,2025,0.8578904565645403,1582,alpha_complex_s2025_provided_af2.csv
