method,setting,auroc_mean,auroc_std,n_seeds,n_systems
Alpha Complex,holo,0.919886881408877,0.0008801974568479206,3,1738
EDTsurf gs=0.3,holo,0.9178048217574516,0.0015683881347511427,3,1738
EDTsurf gs=0.4,holo,0.9286121239583464,0.0005715431687911354,3,1738
EDTsurf gs=0.5,holo,0.9342216843717893,0.003324372689770576,3,1738
NanoShaper gs=0.4,holo,0.9517825553204801,0.0014441491206257792,3,1738
NanoShaper gs=0.5,holo,0.9510170214422794,0.002166570097758218,3,1738
MSMS,holo,0.9440406593000871,0.0010891999618266879,3,1738
Alpha Complex,apo,0.8608632722406321,0.001762198058812807,3,287
EDTsurf gs=0.3,apo,0.8559974734131304,0.0031633623160578096,3,287
EDTsurf gs=0.4,apo,0.8651271147433306,0.0012168866178209465,3,287
EDTsurf gs=0.5,apo,0.8652554181738425,0.0002727501995197936,3,287
NanoShaper gs=0.4,apo,0.7487965550518627,0.0014920715643108307,3,287
NanoShaper gs=0.5,apo,0.7539675550884598,0.006861165563100954,3,287
MSMS,apo,0.7374580718487461,0.010127579219465334,3,287
Alpha Complex,af2,0.8534552355686214,0.004984457779748884,3,1462
EDTsurf gs=0.3,af2,0.8380299659724718,0.002647645111005967,3,1462
EDTsurf gs=0.4,af2,0.8482834330841525,0.0016286021167050328,3,1462
EDTsurf gs=0.5,af2,0.8594158487310729,0.0026796133312770075,3,1462
NanoShaper gs=0.4,af2,0.7163148478269998,0.00540099080938035,3,1462
NanoShaper gs=0.5,af2,0.7198457721259173,0.0058485493263113275,3,1462
MSMS,af2,0.711371672198651,0.04584240610916873,3,1462
