method,setting,complex_type,seed,auroc,n_systems,file
Alpha Complex,holo,Homo,2024,0.9257756030896468,1558,alpha_complex_s2024_provided_holo.csv
Alpha Complex,holo,Hetero,2024,0.8945498724370682,277,alpha_complex_s2024_provided_holo.csv
Alpha Complex,holo,Homo,2025,0.9249520279251325,1558,alpha_complex_s2025_provided_holo.csv
Alpha Complex,holo,Hetero,2025,0.8928028037128516,277,alpha_complex_s2025_provided_holo.csv
Alpha Complex,holo,Homo,2026,0.9242930549282615,1558,alpha_complex_s2026_provided_holo.csv
Alpha Complex,holo,Hetero,2026,0.8912648571540243,277,alpha_complex_s2026_provided_holo.csv
EDTsurf gs=0.3,holo,Homo,2024,0.9225716782418016,1558,edtsurf_gs0.3_s2024_provided_holo.csv
EDTsurf gs=0.3,holo,Hetero,2024,0.8796833249495876,277,edtsurf_gs0.3_s2024_provided_holo.csv
EDTsurf gs=0.3,holo,Homo,2025,0.924925677632005,1558,edtsurf_gs0.3_s2025_provided_holo.csv
EDTsurf gs=0.3,holo,Hetero,2025,0.8827623618885684,277,edtsurf_gs0.3_s2025_provided_holo.csv
EDTsurf gs=0.3,holo,Homo,2026,0.9252560416530811,1558,edtsurf_gs0.3_s2026_provided_holo.csv
EDTsurf gs=0.3,holo,Hetero,2026,0.8818967226409316,277,edtsurf_gs0.3_s2026_provided_holo.csv
EDTsurf gs=0.4,holo,Homo,2024,0.9342483181033047,1558,edtsurf_gs0.4_s2024_provided_holo.csv
EDTsurf gs=0.4,holo,Hetero,2024,0.8969150657124223,277,edtsurf_gs0.4_s2024_provided_holo.csv
EDTsurf gs=0.4,holo,Homo,2025,0.9353086010849824,1558,edtsurf_gs0.4_s2025_provided_holo.csv
EDTsurf gs=0.4,holo,Hetero,2025,0.895015285562006,277,edtsurf_gs0.4_s2025_provided_holo.csv
EDTsurf gs=0.4,holo,Homo,2026,0.9337467556701193,1558,edtsurf_gs0.4_s2026_provided_holo.csv
EDTsurf gs=0.4,holo,Hetero,2026,0.8959297155574979,277,edtsurf_gs0.4_s2026_provided_holo.csv
EDTsurf gs=0.5,holo,Homo,2024,0.9361143894283692,1558,edtsurf_gs0.5_s2024_provided_holo.csv
EDTsurf gs=0.5,holo,Hetero,2024,0.8991005370727305,277,edtsurf_gs0.5_s2024_provided_holo.csv
EDTsurf gs=0.5,holo,Homo,2025,0.942100955792217,1558,edtsurf_gs0.5_s2025_provided_holo.csv
EDTsurf gs=0.5,holo,Hetero,2025,0.9067963437512313,277,edtsurf_gs0.5_s2025_provided_holo.csv
EDTsurf gs=0.5,holo,Homo,2026,0.9410876728656361,1558,edtsurf_gs0.5_s2026_provided_holo.csv
EDTsurf gs=0.5,holo,Hetero,2026,0.9063627991356215,277,edtsurf_gs0.5_s2026_provided_holo.csv
NanoShaper gs=0.4,holo,Homo,2024,0.9567608848164226,1558,nanoshaper_gs0.4_s2024_provided_holo.csv
NanoShaper gs=0.4,holo,Hetero,2024,0.9308587247374727,277,nanoshaper_gs0.4_s2024_provided_holo.csv
NanoShaper gs=0.4,holo,Homo,2025,0.9566639179373155,1558,nanoshaper_gs0.4_s2025_provided_holo.csv
NanoShaper gs=0.4,holo,Hetero,2025,0.9314927603320572,277,nanoshaper_gs0.4_s2025_provided_holo.csv
NanoShaper gs=0.4,holo,Homo,2026,0.954333346406183,1558,nanoshaper_gs0.4_s2026_provided_holo.csv
NanoShaper gs=0.4,holo,Hetero,2026,0.9283026518674544,277,nanoshaper_gs0.4_s2026_provided_holo.csv
NanoShaper gs=0.5,holo,Homo,2024,0.9548598799027184,1558,nanoshaper_gs0.5_s2024_provided_holo.csv
NanoShaper gs=0.5,holo,Hetero,2024,0.9305390232767654,277,nanoshaper_gs0.5_s2024_provided_holo.csv
NanoShaper gs=0.5,holo,Homo,2025,0.9570832130359539,1558,nanoshaper_gs0.5_s2025_provided_holo.csv
NanoShaper gs=0.5,holo,Hetero,2025,0.932815300015798,277,nanoshaper_gs0.5_s2025_provided_holo.csv
NanoShaper gs=0.5,holo,Homo,2026,0.9527583993297903,1558,nanoshaper_gs0.5_s2026_provided_holo.csv
NanoShaper gs=0.5,holo,Hetero,2026,0.9281501618759957,277,nanoshaper_gs0.5_s2026_provided_holo.csv
MSMS,holo,Homo,2024,0.9479247075254554,1558,msms_0.1_dist2.0_s2024_provided_holo.csv
MSMS,holo,Hetero,2024,0.920843514760938,277,msms_0.1_dist2.0_s2024_provided_holo.csv
MSMS,holo,Homo,2025,0.9497125199101574,1558,msms_0.1_dist2.0_s2025_provided_holo.csv
MSMS,holo,Hetero,2025,0.9228522910529947,277,msms_0.1_dist2.0_s2025_provided_holo.csv
MSMS,holo,Homo,2026,0.9476322567602402,1558,msms_0.1_dist2.0_s2026_provided_holo.csv
MSMS,holo,Hetero,2026,0.9226997995470637,277,msms_0.1_dist2.0_s2026_provided_holo.csv
Alpha Complex,apo,Homo,2024,0.8644991652689532,277,alpha_complex_s2024_provided_apo.csv
Alpha Complex,apo,Hetero,2024,0.8522797128245839,32,alpha_complex_s2024_provided_apo.csv
Alpha Complex,apo,Homo,2025,0.8655708567806186,277,alpha_complex_s2025_provided_apo.csv
Alpha Complex,apo,Hetero,2025,0.8559789041467742,32,alpha_complex_s2025_provided_apo.csv
Alpha Complex,apo,Homo,2026,0.8637985646060591,277,alpha_complex_s2026_provided_apo.csv
Alpha Complex,apo,Hetero,2026,0.8393463701784001,32,alpha_complex_s2026_provided_apo.csv
EDTsurf gs=0.3,apo,Homo,2024,0.8599147500718183,277,edtsurf_gs0.3_s2024_provided_apo.csv
EDTsurf gs=0.3,apo,Hetero,2024,0.8240764475640234,32,edtsurf_gs0.3_s2024_provided_apo.csv
EDTsurf gs=0.3,apo,Homo,2025,0.8629210037045788,277,edtsurf_gs0.3_s2025_provided_apo.csv
EDTsurf gs=0.3,apo,Hetero,2025,0.8374400098496015,32,edtsurf_gs0.3_s2025_provided_apo.csv
EDTsurf gs=0.3,apo,Homo,2026,0.8646868750939123,277,edtsurf_gs0.3_s2026_provided_apo.csv
EDTsurf gs=0.3,apo,Hetero,2026,0.8349851124674703,32,edtsurf_gs0.3_s2026_provided_apo.csv
EDTsurf gs=0.4,apo,Homo,2024,0.8720488364053572,277,edtsurf_gs0.4_s2024_provided_apo.csv
EDTsurf gs=0.4,apo,Hetero,2024,0.840933401911344,32,edtsurf_gs0.4_s2024_provided_apo.csv
EDTsurf gs=0.4,apo,Homo,2025,0.8703603149827153,277,edtsurf_gs0.4_s2025_provided_apo.csv
EDTsurf gs=0.4,apo,Hetero,2025,0.8394328441579911,32,edtsurf_gs0.4_s2025_provided_apo.csv
EDTsurf gs=0.4,apo,Homo,2026,0.8708581010795214,277,edtsurf_gs0.4_s2026_provided_apo.csv
EDTsurf gs=0.4,apo,Hetero,2026,0.8483787224687491,32,edtsurf_gs0.4_s2026_provided_apo.csv
EDTsurf gs=0.5,apo,Homo,2024,0.8715778651165417,277,edtsurf_gs0.5_s2024_provided_apo.csv
EDTsurf gs=0.5,apo,Hetero,2024,0.8381172749397736,32,edtsurf_gs0.5_s2024_provided_apo.csv
EDTsurf gs=0.5,apo,Homo,2025,0.871520614852338,277,edtsurf_gs0.5_s2025_provided_apo.csv
EDTsurf gs=0.5,apo,Hetero,2025,0.8370856196275542,32,edtsurf_gs0.5_s2025_provided_apo.csv
