method,setting,complex_type,auroc_mean,auroc_std,n_seeds,n_systems
Alpha Complex,holo,Homo,0.9250068953143469,0.0007427954533423943,3,1558
Alpha Complex,holo,Hetero,0.8928725111013147,0.0016436166500929995,3,277
EDTsurf gs=0.3,holo,Homo,0.9242511325089625,0.0014637998747162012,3,1558
EDTsurf gs=0.3,holo,Hetero,0.8814474698263625,0.0015879194521293467,3,277
EDTsurf gs=0.4,holo,Homo,0.9344345582861354,0.000797404746197181,3,1558
EDTsurf gs=0.4,holo,Hetero,0.8959533556106422,0.0009501106746392493,3,277
EDTsurf gs=0.5,holo,Homo,0.9397676726954075,0.003204144900631189,3,1558
EDTsurf gs=0.5,holo,Hetero,0.9040865599865278,0.004323460258417339,3,277
NanoShaper gs=0.4,holo,Homo,0.955919383053307,0.0013744034445629166,3,1558
NanoShaper gs=0.4,holo,Hetero,0.9302180456456615,0.0016888014323760726,3,277
NanoShaper gs=0.5,holo,Homo,0.9549004974228209,0.0021626929360081502,3,1558
NanoShaper gs=0.5,holo,Hetero,0.9305014950561864,0.0023327954778257724,3,277
MSMS,holo,Homo,0.9484231613986177,0.0011261509183846834,3,1558
MSMS,holo,Hetero,0.9221318684536653,0.0011183491597075825,3,277
Alpha Complex,apo,Homo,0.8646228622185436,0.0008925976638467899,3,277
Alpha Complex,apo,Hetero,0.8492016623832527,0.008733046000211771,3,32
EDTsurf gs=0.3,apo,Homo,0.8625075429567698,0.0024127798592304033,3,277
EDTsurf gs=0.3,apo,Hetero,0.8321671899603652,0.00711348822183386,3,32
EDTsurf gs=0.4,apo,Homo,0.8710890841558646,0.0008676353121260198,3,277
EDTsurf gs=0.4,apo,Hetero,0.8429149895126947,0.004790845619939443,3,32
EDTsurf gs=0.5,apo,Homo,0.8715824721217612,6.428470300691293e-05,3,277
EDTsurf gs=0.5,apo,Hetero,0.8392400195712687,0.002884585862117244,3,32
NanoShaper gs=0.4,apo,Homo,0.7452966735960066,0.002899927365803222,3,277
NanoShaper gs=0.4,apo,Hetero,0.8013561229004535,0.000732107026210757,3,32
NanoShaper gs=0.5,apo,Homo,0.7497066393403372,0.007679280142712523,3,277
NanoShaper gs=0.5,apo,Hetero,0.8127830245853384,0.009267589016676993,3,32
MSMS,apo,Homo,0.7317381434117424,0.00727146949088053,3,277
MSMS,apo,Hetero,0.8224586361364739,0.021532211704614102,3,32
Alpha Complex,af2,Homo,0.8620627416694866,0.003946071050884276,3,1366
Alpha Complex,af2,Hetero,0.8134846622639381,0.009733048166783028,3,216
EDTsurf gs=0.3,af2,Homo,0.851884034411766,0.002568154780591045,3,1366
EDTsurf gs=0.3,af2,Hetero,0.7701212993975375,0.0030148814597766404,3,216
EDTsurf gs=0.4,af2,Homo,0.8622228662895729,0.0012385479743969616,3,1366
EDTsurf gs=0.4,af2,Hetero,0.7818080043599807,0.003464276448768028,3,216
EDTsurf gs=0.5,af2,Homo,0.8716087955658263,0.0026057746232760804,3,1366
EDTsurf gs=0.5,af2,Hetero,0.8025158868264187,0.003324135517707411,3,216
NanoShaper gs=0.4,af2,Homo,0.715569573227144,0.004761259507789778,3,1366
NanoShaper gs=0.4,af2,Hetero,0.734051326838837,0.006295130639357013,3,216
NanoShaper gs=0.5,af2,Homo,0.7191327023295587,0.005896087454718267,3,1366
NanoShaper gs=0.5,af2,Hetero,0.7355484473552846,0.006138733636504306,3,216
MSMS,af2,Homo,0.7138139729665635,0.05027808717671097,3,1366
MSMS,af2,Hetero,0.715740984812105,0.01680825246517793,3,216
