log_file,job_id,mode,encoder,surface,train_fwd_bwd_mean,train_fwd_bwd_std,train_fwd_bwd_n,train_fwd_bwd_total,train_per_protein_mean,train_per_protein_std,train_per_protein_n,train_per_protein_total,batch_size_mean,batch_size_std,batch_size_n,batch_size_total,mesh_processing_mean,mesh_processing_std,mesh_processing_n,mesh_processing_total,compute_operators_mean,compute_operators_std,compute_operators_n,compute_operators_total,geom_feats_mean,geom_feats_std,geom_feats_n,geom_feats_total,sbl_alpha_complex_mean,sbl_alpha_complex_std,sbl_alpha_complex_n,sbl_alpha_complex_total,DSSP_mean,DSSP_std,DSSP_n,DSSP_total,PDBParser_mean,PDBParser_std,PDBParser_n,PDBParser_total
pinder_h100_1014908.out,1014908,onfly,,,0.4361,0.1688,500,218.05,,,,,,,,,0.0127,0.0246,8020,101.48,0.1967,0.2132,7501,1475.69,0.0317,0.0372,7500,237.5,0.0301,0.0376,8020,241.7,0.0138,0.0054,8023,110.46,0.023,0.058,8021,184.63
pinder_h100_1015283.out,1015283,onfly,,,0.4314,0.1939,200,86.28,,,,,,,,,0.0107,0.01,3196,34.16,0.3329,0.3348,2946,980.62,0.0474,0.0438,2945,139.5,,,,,0.0157,0.0013,3210,50.46,0.0221,0.0558,3210,70.92
pinder_h100_1020637.out,1020637,onfly,,,0.4621,0.1725,2600,1201.55,,,,,,,,,0.0129,0.0253,41671,535.77,0.1983,0.2215,38902,7712.55,0.0319,0.0387,38902,1241.57,0.0308,0.0385,41670,1282.99,0.017,0.0054,41683,709.12,0.0237,0.06,41683,986.27
pinder_h100_1020786.out,1020786,onfly,,,0.4429,0.1827,1400,620.1,,,,,,,,,0.0116,0.0113,22356,259.28,0.352,0.3452,20618,7257.47,0.0498,0.0466,20620,1026.27,,,,,0.0171,0.0075,22444,384.3,0.0234,0.0604,22444,525.73
pinder_h100_1071645.out,1071645,onfly,pronet_gvpencoder,alpha_complex,0.4536,0.1854,600,272.16,0.0531,0.028,600,31.86,,,,,0.0143,0.0244,9771,139.68,0.2157,0.2397,9158,1975.74,0.0341,0.0419,9159,312.16,0.0338,0.0445,9770,330.4,0.0326,0.0074,9771,318.33,0.0268,0.0662,9772,262.18
pinder_h100_1071655.out,1071655,onfly,,,0.4728,0.2228,400,189.13,0.0576,0.0472,400,23.04,,,,,0.0125,0.0134,6369,79.4,0.3644,0.3631,5881,2143.3,0.05,0.0469,5883,294.05,,,,,0.0368,0.0062,6389,234.92,0.0242,0.0622,6387,154.36
pinder_h100_1072004.out,1072004,onfly,,,0.4433,0.1646,500,221.66,0.0519,0.0265,500,25.96,,,,,0.0127,0.0261,8111,103.39,0.1923,0.2101,7588,1458.79,0.0316,0.0369,7589,240.15,0.0312,0.0391,8110,253.36,0.0377,0.0049,8111,305.39,0.0245,0.0636,8108,198.27
pinder_h100_1076990.out,1076990,onfly,,,0.4646,0.1153,100,46.46,0.0543,0.0206,100,5.43,,,,,0.012,0.0117,1616,19.46,0.3553,0.3613,1500,532.97,0.0484,0.0421,1500,72.57,,,,,0.0354,0.0049,1616,57.17,0.0235,0.0605,1616,37.99
pinder_h100_1076997.out,1076997,onfly,,,0.4394,0.1874,200,87.89,0.0521,0.0331,200,10.43,,,,,0.0122,0.0224,3326,40.55,0.1894,0.2058,3130,592.69,0.0308,0.0354,3131,96.54,0.0308,0.0374,3325,102.33,0.0326,0.004,3325,108.35,0.0241,0.0627,3326,80.19
pinder_h100_1077577.out,1077577,onfly,,,0.4429,0.1646,500,221.45,0.0518,0.0262,500,25.92,,,,,0.013,0.026,8160,105.69,0.1925,0.2092,7634,1469.23,0.0317,0.0369,7634,241.96,0.0316,0.0398,8161,257.84,0.0373,0.0062,8161,304.29,0.0248,0.0643,8155,202.37
pinder_h100_1078629.out,1078629,onfly,,,0.4483,0.1641,400,179.32,0.0525,0.0285,400,21.01,,,,,0.0137,0.0301,6590,90.53,0.1997,0.2131,6186,1235.13,0.0319,0.0372,6188,197.65,0.0316,0.0394,6590,208.4,0.0342,0.0061,6588,225.54,0.0235,0.0595,6586,154.83
pinder_h100_1078963.out,1078963,onfly,pronet_gvpencoder,alpha_complex,0.4468,0.1832,600,268.07,0.0524,0.0281,600,31.42,4.625,1.5003,600,2775.0,0.013,0.0262,9814,127.19,0.1953,0.2112,9193,1794.98,0.0315,0.0372,9192,289.21,0.0312,0.0384,9813,306.6,0.0363,0.0057,9813,356.38,0.0239,0.0612,9807,234.16
pinder_h100_1079140.out,1079140,onfly,pronet_gvpencoder,alpha_complex,0.4865,0.2292,600,291.91,0.0589,0.0423,600,35.35,4.5083,1.4843,600,2705.0,0.0124,0.0141,9505,117.9,0.3615,0.4023,8775,3172.54,0.0499,0.0469,8775,437.59,,,,,0.0372,0.006,9538,354.37,0.0248,0.0659,9537,236.91
