threshold_pct,algo2_pass,algo2_fail,algo2_mean_drop,algo2_max_drop,msms_pass,msms_fail,msms_mean_drop,msms_max_drop,msms_ext_pass,msms_ext_fail,msms_ext_mean_drop,msms_ext_max_drop,edtsurf_0.3_pass,edtsurf_0.3_fail,edtsurf_0.3_mean_drop,edtsurf_0.3_max_drop,edtsurf_0.4_pass,edtsurf_0.4_fail,edtsurf_0.4_mean_drop,edtsurf_0.4_max_drop,edtsurf_0.5_pass,edtsurf_0.5_fail,edtsurf_0.5_mean_drop,edtsurf_0.5_max_drop,nanoshaper_0.3_pass,nanoshaper_0.3_fail,nanoshaper_0.3_mean_drop,nanoshaper_0.3_max_drop,nanoshaper_0.4_pass,nanoshaper_0.4_fail,nanoshaper_0.4_mean_drop,nanoshaper_0.4_max_drop,nanoshaper_0.5_pass,nanoshaper_0.5_fail,nanoshaper_0.5_mean_drop,nanoshaper_0.5_max_drop,nanoshaper_0.6_pass,nanoshaper_0.6_fail,nanoshaper_0.6_mean_drop,nanoshaper_0.6_max_drop
0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,89716,244,0.0,0.0,95670,130,0.0,0.0,94090,1934,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
1,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,89958,2,6.465700373303888e-06,0.009425878320479864,95800,0,2.380543034882965e-06,0.00644122383252818,96008,16,3.2085005719568416e-05,0.012301715765619942,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
2,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,89960,0,6.745134839865878e-06,0.014527845036319613,95800,0,2.380543034882965e-06,0.00644122383252818,96022,2,3.390112829494355e-05,0.025946704067321177,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
3,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,89960,0,6.745134839865878e-06,0.014527845036319613,95800,0,2.380543034882965e-06,0.00644122383252818,96022,2,3.390112829494355e-05,0.025946704067321177,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
4,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,89960,0,6.745134839865878e-06,0.014527845036319613,95800,0,2.380543034882965e-06,0.00644122383252818,96023,1,3.423737135256629e-05,0.034106412005457026,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,89960,0,6.745134839865878e-06,0.014527845036319613,95800,0,2.380543034882965e-06,0.00644122383252818,96024,0,3.463840661584378e-05,0.04245865218464576,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
6,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,89960,0,6.745134839865878e-06,0.014527845036319613,95800,0,2.380543034882965e-06,0.00644122383252818,96024,0,3.463840661584378e-05,0.04245865218464576,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
8,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,89960,0,6.745134839865878e-06,0.014527845036319613,95800,0,2.380543034882965e-06,0.00644122383252818,96024,0,3.463840661584378e-05,0.04245865218464576,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
10,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,89960,0,6.745134839865878e-06,0.014527845036319613,95800,0,2.380543034882965e-06,0.00644122383252818,96024,0,3.463840661584378e-05,0.04245865218464576,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
12,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,89960,0,6.745134839865878e-06,0.014527845036319613,95800,0,2.380543034882965e-06,0.00644122383252818,96024,0,3.463840661584378e-05,0.04245865218464576,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
