threshold_pct,algo2_pass,algo2_fail,algo2_mean_drop,algo2_max_drop,msms_pass,msms_fail,msms_mean_drop,msms_max_drop,msms_ext_pass,msms_ext_fail,msms_ext_mean_drop,msms_ext_max_drop,edtsurf_0.3_pass,edtsurf_0.3_fail,edtsurf_0.3_mean_drop,edtsurf_0.3_max_drop,edtsurf_0.4_pass,edtsurf_0.4_fail,edtsurf_0.4_mean_drop,edtsurf_0.4_max_drop,edtsurf_0.5_pass,edtsurf_0.5_fail,edtsurf_0.5_mean_drop,edtsurf_0.5_max_drop,nanoshaper_0.3_pass,nanoshaper_0.3_fail,nanoshaper_0.3_mean_drop,nanoshaper_0.3_max_drop,nanoshaper_0.4_pass,nanoshaper_0.4_fail,nanoshaper_0.4_mean_drop,nanoshaper_0.4_max_drop,nanoshaper_0.5_pass,nanoshaper_0.5_fail,nanoshaper_0.5_mean_drop,nanoshaper_0.5_max_drop,nanoshaper_0.6_pass,nanoshaper_0.6_fail,nanoshaper_0.6_mean_drop,nanoshaper_0.6_max_drop
0,1430,8,0.0,0.0,23,1413,0.0,0.0,1338,98,0.0,0.0,1042,396,0.0,0.0,685,753,0.0,0.0,148,1290,0.0,0.0,30,1408,0.0,0.0,277,1161,0.0,0.0,857,581,0.0,0.0,1063,375,0.0,0.0
1,1433,5,1.489046141111268e-05,0.012705667276051187,804,632,0.05114555116324714,0.18407445708376421,1431,5,0.00011932416811411699,0.01379271413517989,1417,21,0.0013326121810170715,0.024024024024024024,1393,45,0.0024181254965468598,0.024846536100555393,1362,76,0.007031978835197898,0.05482866043613707,1359,79,0.013502629989601042,0.04262295081967213,1412,26,0.0025614751009651595,0.017324253955537754,1421,17,0.0008121104113065037,0.016624746948039996,1420,18,0.0005889380659208774,0.01646124921662837
2,1435,3,3.52248911168329e-05,0.01906106600776562,1278,158,0.05839259952771117,0.18407445708376421,1432,4,0.0001278266815490074,0.01379271413517989,1431,7,0.0014623283648418075,0.02526315789473684,1426,12,0.0027080944062301427,0.024846536100555393,1415,23,0.007545693636749669,0.05482866043613707,1403,35,0.013966993848119412,0.04262295081967213,1424,14,0.002664115066670036,0.023923444976076555,1430,8,0.0008948658979830612,0.023472099202834367,1430,8,0.0006750434870682147,0.018257694314032343
3,1437,1,7.106665524473611e-05,0.026046511627906978,1369,67,0.060164832246758365,0.21351254519200494,1435,1,0.0001828926757460539,0.029008341056533826,1433,5,0.0014936174829629895,0.02802283341982356,1432,6,0.002817047270856305,0.03560371517027864,1429,9,0.007767887495027772,0.05482866043613707,1416,22,0.014191015203089146,0.05731225296442688,1430,8,0.002771268223643422,0.03211009174311927,1432,6,0.0009274108158189379,0.02719174871073605,1432,6,0.0007074514868171172,0.02707808564231738
4,1437,1,7.106665524473611e-05,0.026046511627906978,1400,36,0.06089942250443272,0.21351254519200494,1435,1,0.0001828926757460539,0.029008341056533826,1435,3,0.001539513944883634,0.055341055341055344,1434,4,0.0028626532177884255,0.05118635030658491,1431,7,0.007810243713664615,0.05482866043613707,1424,14,0.014378642826031886,0.0681265206812652,1431,7,0.0027962032540364535,0.036741921204072596,1434,4,0.000974912876902726,0.03460686600221484,1434,4,0.0007569159827871016,0.04090724989874443
5,1437,1,7.106665524473611e-05,0.026046511627906978,1412,24,0.061320379008782434,0.21351254519200494,1435,1,0.0001828926757460539,0.029008341056533826,1436,2,0.0015703732251303934,0.055341055341055344,1434,4,0.0028626532177884255,0.05118635030658491,1433,5,0.007869479376512587,0.05822416302765648,1427,11,0.014464640792498804,0.0694980694980695,1432,6,0.0028240468301838806,0.0439453125,1434,4,0.000974912876902726,0.03460686600221484,1434,4,0.0007569159827871016,0.04090724989874443
6,1437,1,7.106665524473611e-05,0.026046511627906978,1421,15,0.06168639062450356,0.2305888545928744,1435,1,0.0001828926757460539,0.029008341056533826,1436,2,0.0015703732251303934,0.055341055341055344,1436,2,0.0029340711548969545,0.06512515910055156,1434,4,0.007907172077942485,0.07077987602710105,1428,10,0.014498563245770627,0.0694980694980695,1432,6,0.0028240468301838806,0.0439453125,1434,4,0.000974912876902726,0.03460686600221484,1434,4,0.0007569159827871016,0.04090724989874443
8,1437,1,7.106665524473611e-05,0.026046511627906978,1429,7,0.06201391296901227,0.2305888545928744,1435,1,0.0001828926757460539,0.029008341056533826,1436,2,0.0015703732251303934,0.055341055341055344,1436,2,0.0029340711548969545,0.06512515910055156,1437,1,0.008042587443168348,0.08317659352142111,1429,9,0.014545948477458794,0.0865561694290976,1434,4,0.0029218192700615655,0.07223264540337711,1435,3,0.0010246738995912644,0.07155635062611806,1435,3,0.0008075936558935866,0.0728744939271255
10,1437,1,7.106665524473611e-05,0.026046511627906978,1433,3,0.062217958016429306,0.2305888545928744,1435,1,0.0001828926757460539,0.029008341056533826,1436,2,0.0015703732251303934,0.055341055341055344,1437,1,0.002995983676925651,0.0890302066772655,1437,1,0.008042587443168348,0.08317659352142111,1430,8,0.014601179619789448,0.08664259927797834,1435,3,0.002978291103524515,0.08468677494199536,1435,3,0.0010246738995912644,0.07155635062611806,1435,3,0.0008075936558935866,0.0728744939271255
12,1437,1,7.106665524473611e-05,0.026046511627906978,1435,1,0.06235648414645523,0.2305888545928744,1435,1,0.0001828926757460539,0.029008341056533826,1437,1,0.0016346120057763704,0.09237536656891496,1437,1,0.002995983676925651,0.0890302066772655,1437,1,0.008042587443168348,0.08317659352142111,1431,7,0.014668207117820515,0.10843373493975904,1435,3,0.002978291103524515,0.08468677494199536,1435,3,0.0010246738995912644,0.07155635062611806,1435,3,0.0008075936558935866,0.0728744939271255
14,1437,1,7.106665524473611e-05,0.026046511627906978,1435,1,0.06235648414645523,0.2305888545928744,1435,1,0.0001828926757460539,0.029008341056533826,1437,1,0.0016346120057763704,0.09237536656891496,1437,1,0.002995983676925651,0.0890302066772655,1437,1,0.008042587443168348,0.08317659352142111,1431,7,0.01473064333599419,0.10843373493975904,1435,3,0.002978291103524515,0.08468677494199536,1435,3,0.0010246738995912644,0.07155635062611806,1435,3,0.0008075936558935866,0.0728744939271255
16,1437,1,7.106665524473611e-05,0.026046511627906978,1435,1,0.06235648414645523,0.2305888545928744,1435,1,0.0001828926757460539,0.029008341056533826,1437,1,0.0016346120057763704,0.09237536656891496,1437,1,0.002995983676925651,0.0890302066772655,1437,1,0.008042587443168348,0.08317659352142111,1432,6,0.014815023664320958,0.1506276150627615,1435,3,0.002978291103524515,0.08468677494199536,1435,3,0.0010246738995912644,0.07155635062611806,1435,3,0.0008075936558935866,0.0728744939271255
18,1437,1,7.106665524473611e-05,0.026046511627906978,1435,1,0.06235648414645523,0.2305888545928744,1435,1,0.0001828926757460539,0.029008341056533826,1437,1,0.0016346120057763704,0.09237536656891496,1437,1,0.002995983676925651,0.0890302066772655,1437,1,0.008042587443168348,0.08317659352142111,1432,6,0.014815023664320958,0.1506276150627615,1435,3,0.002978291103524515,0.08468677494199536,1435,3,0.0010246738995912644,0.07155635062611806,1435,3,0.0008075936558935866,0.0728744939271255
20,1437,1,7.106665524473611e-05,0.026046511627906978,1435,1,0.06235648414645523,0.2305888545928744,1435,1,0.0001828926757460539,0.029008341056533826,1437,1,0.0016346120057763704,0.09237536656891496,1437,1,0.002995983676925651,0.0890302066772655,1437,1,0.008042587443168348,0.08317659352142111,1432,6,0.014815023664320958,0.1506276150627615,1435,3,0.002978291103524515,0.08468677494199536,1435,3,0.0010246738995912644,0.07155635062611806,1435,3,0.0008075936558935866,0.0728744939271255
22,1437,1,7.106665524473611e-05,0.026046511627906978,1435,1,0.06235648414645523,0.2305888545928744,1435,1,0.0001828926757460539,0.029008341056533826,1437,1,0.0016346120057763704,0.09237536656891496,1437,1,0.002995983676925651,0.0890302066772655,1437,1,0.008042587443168348,0.08317659352142111,1433,5,0.014922672316344539,0.25077399380804954,1435,3,0.002978291103524515,0.08468677494199536,1435,3,0.0010246738995912644,0.07155635062611806,1435,3,0.0008075936558935866,0.0728744939271255
24,1437,1,7.106665524473611e-05,0.026046511627906978,1435,1,0.06235648414645523,0.2305888545928744,1435,1,0.0001828926757460539,0.029008341056533826,1437,1,0.0016346120057763704,0.09237536656891496,1437,1,0.002995983676925651,0.0890302066772655,1437,1,0.008042587443168348,0.08317659352142111,1433,5,0.014922672316344539,0.25077399380804954,1435,3,0.002978291103524515,0.08468677494199536,1435,3,0.0010246738995912644,0.07155635062611806,1435,3,0.0008075936558935866,0.0728744939271255
26,1437,1,7.106665524473611e-05,0.026046511627906978,1435,1,0.06235648414645523,0.2305888545928744,1435,1,0.0001828926757460539,0.029008341056533826,1437,1,0.0016346120057763704,0.09237536656891496,1437,1,0.002995983676925651,0.0890302066772655,1437,1,0.008042587443168348,0.08317659352142111,1433,5,0.014922672316344539,0.25077399380804954,1435,3,0.002978291103524515,0.08468677494199536,1435,3,0.0010246738995912644,0.07155635062611806,1435,3,0.0008075936558935866,0.0728744939271255
28,1437,1,7.106665524473611e-05,0.026046511627906978,1435,1,0.06235648414645523,0.2305888545928744,1435,1,0.0001828926757460539,0.029008341056533826,1437,1,0.0016346120057763704,0.09237536656891496,1437,1,0.002995983676925651,0.0890302066772655,1437,1,0.008042587443168348,0.08317659352142111,1433,5,0.014922672316344539,0.25077399380804954,1435,3,0.002978291103524515,0.08468677494199536,1435,3,0.0010246738995912644,0.07155635062611806,1435,3,0.0008075936558935866,0.0728744939271255
30,1437,1,7.106665524473611e-05,0.026046511627906978,1435,1,0.06235648414645523,0.2305888545928744,1435,1,0.0001828926757460539,0.029008341056533826,1437,1,0.0016346120057763704,0.09237536656891496,1437,1,0.002995983676925651,0.0890302066772655,1437,1,0.008042587443168348,0.08317659352142111,1433,5,0.014922672316344539,0.25077399380804954,1435,3,0.002978291103524515,0.08468677494199536,1435,3,0.0010246738995912644,0.07155635062611806,1435,3,0.0008075936558935866,0.0728744939271255
