threshold_pct,algo2_pass,algo2_fail,algo2_mean_drop,algo2_max_drop,msms_pass,msms_fail,msms_mean_drop,msms_max_drop,msms_ext_pass,msms_ext_fail,msms_ext_mean_drop,msms_ext_max_drop,edtsurf_0.3_pass,edtsurf_0.3_fail,edtsurf_0.3_mean_drop,edtsurf_0.3_max_drop,edtsurf_0.4_pass,edtsurf_0.4_fail,edtsurf_0.4_mean_drop,edtsurf_0.4_max_drop,edtsurf_0.5_pass,edtsurf_0.5_fail,edtsurf_0.5_mean_drop,edtsurf_0.5_max_drop,nanoshaper_0.3_pass,nanoshaper_0.3_fail,nanoshaper_0.3_mean_drop,nanoshaper_0.3_max_drop,nanoshaper_0.4_pass,nanoshaper_0.4_fail,nanoshaper_0.4_mean_drop,nanoshaper_0.4_max_drop,nanoshaper_0.5_pass,nanoshaper_0.5_fail,nanoshaper_0.5_mean_drop,nanoshaper_0.5_max_drop,nanoshaper_0.6_pass,nanoshaper_0.6_fail,nanoshaper_0.6_mean_drop,nanoshaper_0.6_max_drop
0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1430,8,0.0,0.0,1431,7,0.0,0.0,1366,72,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
1,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1438,0,1.0766323568356889e-05,0.0031570639305445935,1438,0,1.2124184522896646e-05,0.004489337822671156,1438,0,6.768681902589223e-05,0.004554655870445344,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
2,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1438,0,1.0766323568356889e-05,0.0031570639305445935,1438,0,1.2124184522896646e-05,0.004489337822671156,1438,0,6.768681902589223e-05,0.004554655870445344,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
3,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1438,0,1.0766323568356889e-05,0.0031570639305445935,1438,0,1.2124184522896646e-05,0.004489337822671156,1438,0,6.768681902589223e-05,0.004554655870445344,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
4,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1438,0,1.0766323568356889e-05,0.0031570639305445935,1438,0,1.2124184522896646e-05,0.004489337822671156,1438,0,6.768681902589223e-05,0.004554655870445344,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1438,0,1.0766323568356889e-05,0.0031570639305445935,1438,0,1.2124184522896646e-05,0.004489337822671156,1438,0,6.768681902589223e-05,0.004554655870445344,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
6,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1438,0,1.0766323568356889e-05,0.0031570639305445935,1438,0,1.2124184522896646e-05,0.004489337822671156,1438,0,6.768681902589223e-05,0.004554655870445344,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
8,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1438,0,1.0766323568356889e-05,0.0031570639305445935,1438,0,1.2124184522896646e-05,0.004489337822671156,1438,0,6.768681902589223e-05,0.004554655870445344,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
10,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1438,0,1.0766323568356889e-05,0.0031570639305445935,1438,0,1.2124184522896646e-05,0.004489337822671156,1438,0,6.768681902589223e-05,0.004554655870445344,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
12,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1438,0,1.0766323568356889e-05,0.0031570639305445935,1438,0,1.2124184522896646e-05,0.004489337822671156,1438,0,6.768681902589223e-05,0.004554655870445344,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
