method,metric,count,mean,std,min,p01,p05,median,p95,p99,max
MSMS Simplified,Vertices per mesh,990,1350.0020202020203,1364.2322131180783,36.0,63.78,91.0,1082.5,3451.3999999999987,6506.350000000007,12510.0
MSMS Simplified,Faces per mesh,990,2683.6525252525253,2603.583893282932,68.0,123.56,178.0,2161.0,6972.0999999999985,12926.16,21538.0
MSMS Simplified,Edge length (Å),4006887,3.206067826817747,0.9629090533621245,0.00099945068359375,1.3785433676869379,1.7699305019321216,3.129984702536375,4.925357131738221,5.791678853891471,10.432681844240799
MSMS Simplified,Face area (Å²),2656816,3.9401617647370726,1.6818389816661643,0.0003675344724112831,1.160763189946019,1.6985803610906474,3.683426030860904,7.094761776923677,9.070982874744777,20.06850868756051
MSMS Simplified,Triangle angle (°),7970448,60.0,23.615295505042013,0.04566832428171307,17.762405964895198,26.309344709706053,57.34224054090225,103.48758729189187,125.30789082663063,179.7621716550581
MSMS Simplified,Dihedral angle (°),3962272,36.65366621001254,22.349090907307726,2.6120450894569068e-05,0.8053354827042725,4.052647933565424,35.14694070353926,75.06680337992691,92.89949777708848,179.97491994854508
Alpha Complex,Vertices per mesh,990,1270.659595959596,1264.5225546409984,34.0,51.89,75.0,992.5,3458.75,6675.000000000002,10978.0
Alpha Complex,Faces per mesh,990,2547.258585858586,2547.055389934813,64.0,97.0,144.45,1982.0,6939.3499999999985,13385.750000000004,21995.0
Alpha Complex,Edge length (Å),3782804,3.262276628953282,1.3945444360901913,0.20073121152144385,1.2309712451557084,1.2547520018869187,3.1502920080062564,5.560494821622773,6.067628539025595,6.539359860562381
Alpha Complex,Face area (Å²),2521786,3.820847089631049,2.5390264859202984,0.0558226016160077,0.6637160846092349,0.8218287534486259,3.288912121177749,8.897728465536874,11.02672339919063,13.876553859930635
Alpha Complex,Triangle angle (°),7565358,60.0,31.2674368633365,2.5875147567702497,13.569222819582013,17.86423472012155,55.27402893457101,118.25333076710164,126.88439919599502,168.1137262398791
Alpha Complex,Dihedral angle (°),3770347,49.465430034917645,39.49333722237747,0.0,0.07997877033455174,1.3219078179975818,42.00364408370015,126.2424288629715,180.0,180.0
NanoShaper gs = 0.5,Vertices per mesh,990,4049.5131313131315,3979.1167276992333,126.0,201.78,278.9,3191.0,11067.099999999991,20391.26000000002,35052.0
NanoShaper gs = 0.5,Faces per mesh,990,8126.19191919192,8005.539347853816,222.0,399.56,552.0,6400.0,22259.999999999978,40928.16000000004,70388.0
NanoShaper gs = 0.5,Edge length (Å),12067458,1.7172046710450846,0.4817879624824237,0.046615538152225224,0.6877312766396455,0.8976931321995049,1.743366120451535,2.498497706027886,2.750131627583703,3.3751172625129304
NanoShaper gs = 0.5,Face area (Å²),8044930,1.1836926237547718,0.47722252403965615,0.0012733987211423212,0.245744153101872,0.42431392641372984,1.1691456730106433,1.9773512345229234,2.253653819889443,3.188561995329936
NanoShaper gs = 0.5,Triangle angle (°),24134790,60.0,20.033586931397444,3.6292841245409404,21.871308392136182,30.13153760023019,57.012157926501644,95.43969978201642,111.70670685922872,166.1942764931691
NanoShaper gs = 0.5,Dihedral angle (°),12067332,21.71593224840399,16.90694271947614,0.0,0.3296342336819385,1.6120239063677495,18.092474340218082,54.43231503380108,72.34000662676691,161.34503461204469
EDTSurf gs = 0.5,Vertices per mesh,990,2254.0767676767678,1911.8319476687602,140.0,197.89,248.0,1884.0,5642.549999999992,9413.460000000005,16202.0
EDTSurf gs = 0.5,Faces per mesh,990,4497.377777777778,3812.896599369825,276.0,391.78,492.0,3764.0,11241.899999999987,18731.280000000013,32332.0
EDTSurf gs = 0.5,Edge length (Å),6678606,2.2949669969781845,0.4506673167521616,0.0022382620399542838,1.2061768192998068,1.571913685710656,2.3062636696742067,3.0172538808538967,3.2582605861310756,4.166379825036859
EDTSurf gs = 0.5,Face area (Å²),4452404,2.1903570205534852,0.6322037224151497,1.2947595678269863e-05,0.6495924259548791,1.1192891620310075,2.1940162824973917,3.228481100960645,3.6500106377612545,4.983484040367452
EDTSurf gs = 0.5,Triangle angle (°),13357212,60.0,15.724915375329369,0.0568094150631401,30.821800093223164,37.904899653293285,58.179380461463836,88.72634737065418,105.97996054593659,178.05184881347822
EDTSurf gs = 0.5,Dihedral angle (°),6678606,15.594753633899762,13.386103323675012,0.0,0.12199893240800772,1.0057816685928405,12.643396345158493,39.665690533834876,67.45815647889661,179.97353704651889
