system_id,auroc,bacc,is_homodimer
8iyi__A1_Q6CVU4--8iyi__B1_Q6CVU4,0.959889417257046,0.5,True
1uus__A1_O00910--1uus__A2_O00910,0.9491053417730216,0.5,True
1zt2__A1_Q97Z83--1zt2__C1_Q9UWW1,0.9789293045803406,0.5,False
7uex__A1_Q9H999--7uex__A2_Q9H999,0.942872895520773,0.5029940119760479,True
6jqy__A1_P9WF13--6jqy__B1_P9WF13,0.948080422125182,0.5163937409024746,True
6l6w__A1_A0A3B6UEU3--6l6w__A2_A0A3B6UEU3,0.9980857215637106,0.5,True
8h56__A1_Q8BB16--8h56__B1_Q8BB16,0.9172575836950556,0.5,True
8grj__B1_Q8GQE7--8grj__A1_A0A0H3KLY3,0.958563430131434,0.5,False
2j0n__B1_P18013--2j0n__A1_P18013,0.8715318619763077,0.5,True
3rq1__A1_D1BN29--3rq1__C1_D1BN29,0.9517548869411206,0.5,True
5djt__A1_O49004--5djt__B1_UNDEFINED,0.9495965109294611,0.5,False
5ae6__B1_Q92458--5ae6__A1_Q92458,0.9196467738227992,0.5,True
3v1e__A1_UNDEFINED--3v1e__B1_UNDEFINED,0.8682236842105263,0.5,True
7qi3__A1_W7NDP8--7qi3__C1_W7NDP8,0.9547289125151939,0.5,True
2yve__A1_Q8NMG3--2yve__B1_Q8NMG3,0.9317046759406301,0.5,True
5ynx__A1_B2GM84--5ynx__B1_B2GM84,0.9574881929962379,0.5,True
2r6u__A1_Q0S814--2r6u__C1_Q0S814,0.8679746958693006,0.5,True
8b6m__A1_Q9H2K2--8b6m__B1_Q9H2K2,0.7857349750585323,0.5062574458479574,True
3kc2__A1_P36151--3kc2__B1_P36151,0.9893361381652716,0.5,True
3vp5__A1_Q9CHR1--3vp5__A2_Q9CHR1,0.9567501855704338,0.5,True
7pvh__A1_B2RLE7--7pvh__B1_B2RLE7,0.7698744505263132,0.5,True
4nqf__B2_Q7CW19--4nqf__A1_Q7CW19,0.9139020132505371,0.5,True
1vjh__A1_P0C0B0--1vjh__B1_P0C0B0,0.9573474538897733,0.5,True
5xw4__B1_Q00684--5xw4__A1_Q00684,0.8398447181741454,0.5,True
8aai__A1_O00560--8aai__C1_O00560,0.7248447293991744,0.5,True
4xdl__A1_P57789--4xdl__B1_P57789,0.8630248949076598,0.5,True
6ukl__A1_P0A901--6ukl__F1_P0A901,0.8510792521464682,0.5,True
5dot__A1_P31327--5dot__B1_P31327,0.9138292998715977,0.5,True
5by4__A1_P0ABV6--5by4__A2_P0ABV6,0.9683259314476679,0.5,True
7zxs__A1_Q86TI2--7zxs__C1_Q86TI2,0.9775007912717815,0.5,True
1v6u__A1_Q7SI98--1v6u__B1_Q7SI98,0.897128589947053,0.5,True
6e27__A1_Q9H257--6e27__B1_Q9H257,0.7909698960376277,0.5,True
7szd__A1_Q96S44--7szd__B1_Q9Y3C4,0.9703598072113777,0.5,False
1h9r__A1_P0A9G8--1h9r__B1_P0A9G8,0.9070430580827725,0.5,True
3on6__A1_A7M0J6--3on6__B1_A7M0J6,0.9653848581590894,0.5,True
8fwy__A1_Q4DGA2--8fwy__B1_Q4DGA2,0.9343146053768084,0.5,True
1yu6__A1_P00780--1yu6__C1_P68390,0.9691318341777844,0.5,False
6ek1__A1_A0A452CST7--6ek1__A2_A0A452CST7,0.9818059349328095,0.5072356813956495,True
6ckj__A1_P0A0Z8--6ckj__A2_P0A0Z8,0.9673822323362247,0.5,True
7yj0__B1_UNDEFINED--7yj0__A1_UNDEFINED,0.9481090287407294,0.5,True
1w33__A1_O50957--1w33__B1_O50957,0.9760657166998538,0.5,True
4usk__B1_H7C745--4usk__B2_H7C745,0.8945082048289301,0.5,True
6cmv__B1_Q4J9G1--6cmv__A1_Q4J9G1,0.9830099438146556,0.5,True
7y70__A1_F4KCC2--7y70__A2_F4KCC2,0.8354705161800506,0.5,True
