system_id,auroc,bacc,is_homodimer
3c07__A1_Q9KZ96--3c07__B1_Q9KZ96,0.9645699529991498,0.5,True
3iqy__A1_P28366--3iqy__A2_P28366,0.9472335305708091,0.5,True
7e76__A1_A0A3B6LNA8--7e76__B1_A0A3B6LNA8,0.7795166897714911,0.5,True
3cqc__A1_P57740--3cqc__B1_Q8WUM0,0.9662062958373276,0.5,False
7x1k__A1_Q6DL91--7x1k__B1_Q6DL91,0.8212465031077956,0.5,True
8sgd__A1_P25342--8sgd__B1_P32457,0.7513938316039641,0.5,False
3ecf__A1_Q3M5E4--3ecf__B1_Q3M5E4,0.8921022039515025,0.5,True
6j94__A1_Q93VK5--6j94__B1_Q93VK5,0.7722088605558164,0.5,True
7xsh__A1_K1KV82--7xsh__B2_K1KV82,0.9316673515264488,0.5,True
8v14__A1_G5EEF9--8v14__B1_G5EEF9,0.8602599102468211,0.5,True
6r76__A1_H3ZMH8--6r76__B1_H3ZMH8,0.9754326292413715,0.5,True
8ap0__A1_A0A5S9CYM0--8ap0__A2_A0A5S9CYM0,0.9756266248235744,0.5,True
3qph__A1_Q9HGZ9--3qph__A2_Q9HGZ9,0.8370091062287438,0.5,True
3o6j__A1_O67987--3o6j__B1_O67987,0.9808078002172621,0.5,True
6o6z__A1_B6YWC3--6o6z__B1_B6YWC3,0.95279964483,0.5,True
3fil__A1_P19909--3fil__B1_P19909,0.8146981759364798,0.5,True
6do2__A1_P11021--6do2__B1_P11021,0.7678509051884377,0.5,True
7f4q__B1_Q22GC0--7f4q__A1_I7M8B9,0.8158969313328797,0.5,False
4hfg__A1_Q9NQG5--4hfg__B1_Q9NQG5,0.3935599809670902,0.5,True
7yh2__A1_A0A1Q9P883--7yh2__B1_A0A1Q9P883,0.9872675593397641,0.5,True
3axs__A1_O67010--3axs__A2_O67010,0.9728362317611534,0.5,True
3cqr__A1_Q39249--3cqr__B1_Q39249,0.5139481928631466,0.5,True
3s8k__A1_P80691--3s8k__B1_P80691,0.9533057990844441,0.5,True
4oun__A1_O31418--4oun__A2_O31418,0.967746178970844,0.5,True
2iab__A1_Q825J7--2iab__B1_Q825J7,0.8522498987418324,0.5,True
3o3n__A1_Q5U924--3o3n__B1_Q5U923,0.9560320971761095,0.5,False
6f3z__A1_P0ADC3--6f3z__B1_P61316,0.959977504540793,0.5,False
1hr7__A1_P11914--1hr7__B1_P10507,0.913942921537025,0.5,False
8gko__B1_P28296--8gko__A1_P28296,0.956370271267582,0.5,True
2gkv__A1_P00777--2gkv__B1_P68390,0.9188656391170287,0.5,False
8stx__A1_Q4E4E1--8stx__B1_Q4E4E1,0.9827789189271285,0.5,True
4m36__A1_Q582G4--4m36__A2_Q582G4,0.9451188690874093,0.5,True
5wpu__A1_A0A076NBW8--5wpu__A2_A0A076NBW8,0.805560702480747,0.5,True
5yps__A1_A0A0W4ZF97--5yps__B1_A0A0W4ZF97,0.9146496358675713,0.5,True
5oge__E1_P40107--5oge__A1_P40107,0.938305503756841,0.5,True
5fey__B1_Q13049--5fey__A1_Q13049,0.8718085647266335,0.5,True
8hce__B1_Q91XB0--8hce__A1_Q91XB0,0.8758522660691936,0.5,True
1ggp__B1_Q7SIF1--1ggp__A1_Q7SIF0,0.8690414811510916,0.5,False
5z50__A1_O05926--5z50__B1_O05926,0.9420118580263426,0.5,True
7t9u__A1_Q86WV6--7t9u__A2_Q86WV6,0.9631867993852745,0.5,True
6ey4__A1_Q5EGM3--6ey4__A2_Q5EGM3,0.9131200274272318,0.5,True
2hvg__A1_A5KBL5--2hvg__B1_A5KBL5,0.9225221411942472,0.5,True
6wp7__A1_Q82H41--6wp7__B1_Q82H41,0.8857038830743269,0.5,True
6kfs__A1_B7FR28--6kfs__A2_B7FR28,0.7364288443402212,0.5,True
3shg__A1_E6Z0R3--3shg__B1_E6Z0R4,0.856388406962311,0.5,False
4wjm__A1_Q2YNY7--4wjm__A2_Q2YNY7,0.98074439977712,0.5,True
8hmo__A1_A0A0H4P0S7--8hmo__B1_A0A0H4P0S7,0.9748582422219242,0.5,True
8dfk__A1_P39694--8dfk__B1_P39694,0.7428503686420165,0.5,True
6n91__A1_Q9KNI7--6n91__B1_Q9KNI7,0.8955185832932913,0.5,True
1dev__A1_Q15796--1dev__B1_O95405,0.5568096533764977,0.5,False
8c9j__B1_P15559--8c9j__A1_P15559,0.95350482252078,0.5,True
3rd7__B1_A0A0H2ZY91--3rd7__A1_A0A0H2ZY91,0.9533485413888128,0.5,True
5x1j__A1_G2IQS7--5x1j__A2_G2IQS7,0.9178595683596514,0.5,True
3r2p__A1_P02647--3r2p__A2_P02647,0.8534765326277169,0.5,True
1pdk__A1_P15319--1pdk__B1_P62532,0.8621116401866955,0.5,False
7bjg__A1_Q8IGY1--7bjg__A2_Q8IGY1,0.9432646566948987,0.5,True
3kcp__A1_Q06851--3kcp__B1_A3DF10,0.9319977046272979,0.5,False
7bbq__A1_Q6I6B7--7bbq__A2_Q6I6B7,0.9544500825880567,0.5,True
3dpj__E1_Q5LS67--3dpj__F1_Q5LS67,0.81486160734735,0.5,True
6okh__A1_Q04QG8--6okh__B1_Q04QG8,0.9142564642121835,0.5,True
7tq1__A1_P0AC13--7tq1__A2_P0AC13,0.979611865056385,0.5,True
7t5y__A1_P0A7E1--7t5y__B1_P0A7E1,0.9372740760145541,0.5,True
5o47__A1_J7HDY4--5o47__A2_J7HDY4,0.975836393629216,0.5,True
1oo0__A1_P49028--1oo0__B1_Q9V535,0.8793493245106149,0.5,False
3edj__A1_Q8KKG0--3edj__B1_Q8KKG0,0.894431612194691,0.5,True
5yr0__A1_O88597--5yr0__B1_Q8K245,0.9854151461602646,0.5,False
5c21__A1_P09986--5c21__B1_P09986,0.8347691296645523,0.5,True
2gok__A1_Q8U8Z6--2gok__B1_Q8U8Z6,0.9919333863907919,0.5,True
1ww1__A1_Q9WZW8--1ww1__B1_Q9WZW8,0.9722704524563374,0.5,True
1fm0__B1_P30749--1fm0__A1_P30748,0.9462654702669017,0.5,False
4jgo__B1_O31671--4jgo__A1_O31671,0.9117740081110839,0.5,True
3l2k__A1_Q8GPH0--3l2k__B1_Q8GPH0,0.8105622165268136,0.5,True
1yov__A1_Q13564--1yov__B1_Q8TBC4,0.9358804731421994,0.5,False
7zvd__A1_P11413--7zvd__A2_P11413,0.9800707244686973,0.5,True
8grh__B1_P51553--8grh__A1_P50213,0.9252005283492797,0.5,False
1lxd__A1_Q03386--1lxd__B1_Q03386,0.4321872780099202,0.5,True
5m97__A1_Q10113--5m97__B1_Q10113,0.9768758650736962,0.5,True
7ax1__A1_Q9ULM6--7ax1__B1_Q9UIV1,0.9589274141523494,0.5,False
8d4w__A1_A0A8B4R830--8d4w__A2_A0A8B4R830,0.7839953785544864,0.5,True
7ynw__B2_Q57834--7ynw__A1_Q57834,0.9954965856855228,0.5,True
4rgp__A1_Q8DTU7--4rgp__B1_Q8DTU7,0.9319696832251324,0.5,True
8twd__C1_P0AEV1--8twd__A1_W8SRD3,0.8243661588072044,0.5,False
3fb9__A1_A0A0H2US72--3fb9__B1_A0A0H2US72,0.858239530771553,0.5,True
8a39__A1_A0A024L404--8a39__C2_A0A024L404,0.9768266442466199,0.5,True
3ps8__A1_P01034--3ps8__A2_P01034,0.4068607070741289,0.5,True
7vwp__A2_A0A136PK59--7vwp__B1_A0A136PK59,0.993543075024429,0.5,True
3a7p__A1_Q03818--3a7p__B1_Q03818,0.949659370847187,0.5,True
4ql6__A1_A0A0H3MDM0--4ql6__C1_A0A0H3MDM0,0.8467401345123182,0.5,True
5nck__A1_Q8RDN7--5nck__B1_Q8RDN7,0.9699481508518464,0.5,True
3w8i__A1_Q9BUL8--3w8i__B1_Q9P289,0.9795098208557469,0.5,False
4oky__A1_Q52612--4oky__A2_Q52612,0.9688006916962596,0.5,True
7x20__A1_P54708--7x20__B1_P07340,0.9625817247370712,0.5,False
3hnw__A1_D0VWZ2--3hnw__B1_D0VWZ2,0.9574505166617394,0.5,True
8r37__A1_A0A086IRG1--8r37__B1_A0A086IRG1,0.8951518106115146,0.5,True
1rqg__A1_Q9V011--1rqg__A2_Q9V011,0.8888002179814056,0.5,True
8brl__A1_F7J213--8brl__A2_F7J213,0.9103117225976906,0.5,True
7qiu__A1_P94538--7qiu__B1_P94538,0.988274666404704,0.5,True
6sjs__A1_B8FUR2--6sjs__B1_B8FUR2,0.9782043380724732,0.5,True
8hlg__A1_Q9RR88--8hlg__B1_Q9RR88,0.9553139807612427,0.5,True
6mpc__A1_B3DQP5--6mpc__B1_B3DQP5,0.9801452468583047,0.5,True
7pcr__A1_P56185--7pcr__A2_P56185,0.9093204706565696,0.5,True
3bvq__B1_Q2I6W2--3bvq__A1_Q2I6W2,0.9246107279439404,0.5,True
6bsu__A1_Q9LZJ3--6bsu__B1_Q9LZJ3,0.8633188533590094,0.5,True
4e5u__B1_Q9HZN8--4e5u__A1_Q9HZN8,0.9661434671997092,0.5,True
8a52__A1_P23222--8a52__B1_P23222,0.9234765095011641,0.5,True
1d0v__A1_Q05603--1d0v__A2_Q05603,0.976931868355226,0.5,True
3gwq__A1_Q145Q0--3gwq__B1_Q145Q0,0.9157954805588164,0.5,True
1yhc__A1_O67648--1yhc__B1_O67648,0.8688838016653668,0.5,True
7lxs__A1_Q8ZMZ2--7lxs__C1_Q8ZMZ2,0.8481393935189315,0.5,True
6w08__B1_Q9KL63--6w08__A1_Q9KL63,0.9178829475340926,0.5,True
7wrm__A1_D0IVL9--7wrm__B1_D0IVL9,0.8679453990626979,0.5,True
2yww__B1_Q58801--2yww__A1_Q58801,0.9933456728815855,0.5299774276556363,True
3lm6__A1_P40869--3lm6__B1_P40869,0.9565558646577,0.5,True
7trw__A1_A0A380PDL3--7trw__A2_A0A380PDL3,0.7414802074667524,0.5,True
8syc__A1_Q13370--8syc__B1_Q13370,0.452876613451087,0.5,True
1gk6__A1_P03069--1gk6__B1_P03069,0.9557625079604567,0.5,True
1reo__A1_Q6STF1--1reo__A2_Q6STF1,0.9722406155476085,0.5,True
6s3b__A1_Q88JK6--6s3b__B1_Q88JK6,0.9017133725008813,0.5,True
7tl5__A1_A0A3F3B310--7tl5__B1_A0A3F3B310,0.8908538695621253,0.5,True
2asf__A1_P9WLL7--2asf__A2_P9WLL7,0.9290782298445133,0.5,True
8ilj__A1_A0A242MJ43--8ilj__B1_A0A242MJ43,0.9802400264332334,0.5,True
4usc__A1_A0A0A0Y4H8--4usc__B1_A0A0A0Y4H8,0.935540711602801,0.5,True
5yp3__A1_Q6F3I7--5yp3__B1_Q6F3I7,0.9805788990298298,0.5,True
8aid__A1_Q9HWJ8--8aid__B1_Q9HWJ8,0.9615986151813779,0.5,True
7yp6__B1_E5L4T5--7yp6__A1_E5L4T5,0.912710561734519,0.5,True
4aql__A1_Q9Y2T3--4aql__A2_Q9Y2T3,0.9657350964439242,0.5,True
3idf__A1_O34252--3idf__B1_O34252,0.8179774836532376,0.5,True
8fjr__A1_D1A807--8fjr__B1_D1A807,0.8233897666069689,0.5,True
