system_id,auroc,bacc,is_homodimer
3c07__A1_Q9KZ96--3c07__B1_Q9KZ96,0.96006645086396,0.5,True
3iqy__A1_P28366--3iqy__A2_P28366,0.93556702645381,0.5,True
7e76__A1_A0A3B6LNA8--7e76__B1_A0A3B6LNA8,0.7747630913989907,0.5,True
3cqc__A1_P57740--3cqc__B1_Q8WUM0,0.9475278137591869,0.5,False
7x1k__A1_Q6DL91--7x1k__B1_Q6DL91,0.8976179651488855,0.5,True
8sgd__A1_P25342--8sgd__B1_P32457,0.7439785458198946,0.5,False
3ecf__A1_Q3M5E4--3ecf__B1_Q3M5E4,0.939461612747465,0.5,True
6j94__A1_Q93VK5--6j94__B1_Q93VK5,0.8223279440819429,0.5,True
7xsh__A1_K1KV82--7xsh__B2_K1KV82,0.917751270720383,0.5,True
8v14__A1_G5EEF9--8v14__B1_G5EEF9,0.8814238967838444,0.5,True
6r76__A1_H3ZMH8--6r76__B1_H3ZMH8,0.9602792721289828,0.5,True
8ap0__A1_A0A5S9CYM0--8ap0__A2_A0A5S9CYM0,0.9583397452516593,0.5050505050505051,True
3qph__A1_Q9HGZ9--3qph__A2_Q9HGZ9,0.8512305077837383,0.5,True
3o6j__A1_O67987--3o6j__B1_O67987,0.9775480186975347,0.5,True
6o6z__A1_B6YWC3--6o6z__B1_B6YWC3,0.9269545196186821,0.5,True
3fil__A1_P19909--3fil__B1_P19909,0.8112348398830581,0.5,True
6do2__A1_P11021--6do2__B1_P11021,0.677819551509115,0.5,True
7f4q__B1_Q22GC0--7f4q__A1_I7M8B9,0.8427642317692137,0.5,False
4hfg__A1_Q9NQG5--4hfg__B1_Q9NQG5,0.30059959906083505,0.5,True
7yh2__A1_A0A1Q9P883--7yh2__B1_A0A1Q9P883,0.9805227311926566,0.5,True
3axs__A1_O67010--3axs__A2_O67010,0.9679609462618047,0.5,True
3cqr__A1_Q39249--3cqr__B1_Q39249,0.4871428644201625,0.5,True
3s8k__A1_P80691--3s8k__B1_P80691,0.9458626834912751,0.5,True
4oun__A1_O31418--4oun__A2_O31418,0.9724921343780842,0.5,True
