system_id,auroc,bacc,is_homodimer
8iyi__A1_Q6CVU4--8iyi__B1_Q6CVU4,0.9507751528530586,0.5,True
1uus__A1_O00910--1uus__A2_O00910,0.9654408504692926,0.5,True
1zt2__A1_Q97Z83--1zt2__C1_Q9UWW1,0.9568686062075886,0.5,False
7uex__A1_Q9H999--7uex__A2_Q9H999,0.9689382236682312,0.5,True
6jqy__A1_P9WF13--6jqy__B1_P9WF13,0.9301219068413391,0.5,True
6l6w__A1_A0A3B6UEU3--6l6w__A2_A0A3B6UEU3,0.9848199192142411,0.5,True
8h56__A1_Q8BB16--8h56__B1_Q8BB16,0.9352966122835903,0.5,True
8grj__B1_Q8GQE7--8grj__A1_A0A0H3KLY3,0.963310363357161,0.5,False
2j0n__B1_P18013--2j0n__A1_P18013,0.7908655102830318,0.5,True
3rq1__A1_D1BN29--3rq1__C1_D1BN29,0.934182191510404,0.5,True
5djt__A1_O49004--5djt__B1_UNDEFINED,0.949980212261166,0.5,False
5ae6__B1_Q92458--5ae6__A1_Q92458,0.9025524301736529,0.5,True
3v1e__A1_UNDEFINED--3v1e__B1_UNDEFINED,0.8782017543859649,0.5,True
7qi3__A1_W7NDP8--7qi3__C1_W7NDP8,0.9336043181415548,0.5,True
2yve__A1_Q8NMG3--2yve__B1_Q8NMG3,0.958703515578719,0.5,True
5ynx__A1_B2GM84--5ynx__B1_B2GM84,0.9515945813058442,0.5,True
2r6u__A1_Q0S814--2r6u__C1_Q0S814,0.8848984471492551,0.5,True
8b6m__A1_Q9H2K2--8b6m__B1_Q9H2K2,0.7287948117300553,0.5,True
3kc2__A1_P36151--3kc2__B1_P36151,0.9777443675193617,0.5,True
3vp5__A1_Q9CHR1--3vp5__A2_Q9CHR1,0.9878298758631466,0.5,True
7pvh__A1_B2RLE7--7pvh__B1_B2RLE7,0.8462547250340968,0.5,True
4nqf__B2_Q7CW19--4nqf__A1_Q7CW19,0.9274771661048243,0.5,True
1vjh__A1_P0C0B0--1vjh__B1_P0C0B0,0.8481748263340454,0.5,True
5xw4__B1_Q00684--5xw4__A1_Q00684,0.8234375187663711,0.5,True
8aai__A1_O00560--8aai__C1_O00560,0.7089130102430821,0.5,True
4xdl__A1_P57789--4xdl__B1_P57789,0.8642676788047265,0.5,True
6ukl__A1_P0A901--6ukl__F1_P0A901,0.8887407387594618,0.5,True
5dot__A1_P31327--5dot__B1_P31327,0.9103775764379562,0.5,True
5by4__A1_P0ABV6--5by4__A2_P0ABV6,0.9340774673336968,0.5,True
7zxs__A1_Q86TI2--7zxs__C1_Q86TI2,0.9633519913023298,0.5,True
1v6u__A1_Q7SI98--1v6u__B1_Q7SI98,0.8528355322726501,0.5,True
6e27__A1_Q9H257--6e27__B1_Q9H257,0.7560274094451289,0.5,True
7szd__A1_Q96S44--7szd__B1_Q9Y3C4,0.9602251457410331,0.5,False
1h9r__A1_P0A9G8--1h9r__B1_P0A9G8,0.8842101578036424,0.5,True
3on6__A1_A7M0J6--3on6__B1_A7M0J6,0.9552734182650702,0.5,True
8fwy__A1_Q4DGA2--8fwy__B1_Q4DGA2,0.9047687290811919,0.5,True
1yu6__A1_P00780--1yu6__C1_P68390,0.8859910557230386,0.5,False
6ek1__A1_A0A452CST7--6ek1__A2_A0A452CST7,0.9814248526125181,0.5,True
6ckj__A1_P0A0Z8--6ckj__A2_P0A0Z8,0.9584785022481668,0.5,True
7yj0__B1_UNDEFINED--7yj0__A1_UNDEFINED,0.9635604015395172,0.5,True
1w33__A1_O50957--1w33__B1_O50957,0.9496189480430273,0.5,True
4usk__B1_H7C745--4usk__B2_H7C745,0.9260814152464416,0.5,True
6cmv__B1_Q4J9G1--6cmv__A1_Q4J9G1,0.9793045140839375,0.5,True
7y70__A1_F4KCC2--7y70__A2_F4KCC2,0.7845993622046838,0.5,True
3cwx__A1_P94837--3cwx__B1_P94837,0.9481587652330284,0.5,True
3p1y__A1_O29362--3p1y__B1_O29362,0.7938828344493114,0.5,True
8a8i__A1_Q9R9V9--8a8i__B1_Q9R9V9,0.9859762705209416,0.5,True
5d1l__A1_P62837--5d1l__B1_Q96BH1,0.7798268854744479,0.5,False
8bcs__A1_UNDEFINED--8bcs__A2_UNDEFINED,0.858562534002297,0.5,True
8og3__A1_P38489--8og3__B1_P38489,0.956046902923072,0.5,True
3c07__A1_Q9KZ96--3c07__B1_Q9KZ96,0.9806669677773487,0.5,True
3iqy__A1_P28366--3iqy__A2_P28366,0.968729777150691,0.5,True
4afi__A1_P70280--4afi__B1_P70280,0.8696362381314032,0.5,True
7e76__A1_A0A3B6LNA8--7e76__B1_A0A3B6LNA8,0.8870122957410596,0.5,True
3cqc__A1_P57740--3cqc__B1_Q8WUM0,0.9208435087872313,0.5,False
7x1k__A1_Q6DL91--7x1k__B1_Q6DL91,0.6080146716262285,0.5,True
6ydr__A1_A0A3S8UVN5--6ydr__A2_A0A3S8UVN5,0.8772379717422054,0.5,True
8egw__B1_Q6V0I7--8egw__A1_Q96JQ0,0.8325430507248688,0.5,False
8sgd__A1_P25342--8sgd__B1_P32457,0.8950997718103963,0.5,False
3ecf__A1_Q3M5E4--3ecf__B1_Q3M5E4,0.9132787106834636,0.5,True
6j94__A1_Q93VK5--6j94__B1_Q93VK5,0.9616136124214567,0.5,True
7xsh__A1_K1KV82--7xsh__B2_K1KV82,0.9928396076334406,0.5,True
7fct__B1_A0A4Y1LJC5--7fct__A1_A0A4Y1LJC5,0.913621060188023,0.5,True
8v14__A1_G5EEF9--8v14__B1_G5EEF9,0.9407350628930817,0.5,True
6r76__A1_H3ZMH8--6r76__B1_H3ZMH8,0.9609602943121649,0.5,True
8ap0__A1_A0A5S9CYM0--8ap0__A2_A0A5S9CYM0,0.9704754239328586,0.5,True
5j10__A1_UNDEFINED--5j10__B1_UNDEFINED,0.9364518110416438,0.5,True
3qph__A1_Q9HGZ9--3qph__A2_Q9HGZ9,0.9132237150314549,0.5,True
3o6j__A1_O67987--3o6j__B1_O67987,0.9783037447925127,0.5034965034965035,True
6o6z__A1_B6YWC3--6o6z__B1_B6YWC3,0.9628860935715384,0.5,True
7edp__B1_Q5JT35--7edp__A1_Q8TEK3,0.8814045055821371,0.5,False
3fil__A1_P19909--3fil__B1_P19909,0.9491816963043533,0.5,True
6do2__A1_P11021--6do2__B1_P11021,0.9115357288903814,0.5,True
7f4q__B1_Q22GC0--7f4q__A1_I7M8B9,0.9126357519285753,0.5,False
4hfg__A1_Q9NQG5--4hfg__B1_Q9NQG5,0.916875091833228,0.5,True
7yh2__A1_A0A1Q9P883--7yh2__B1_A0A1Q9P883,0.9866332794555025,0.5,True
3axs__A1_O67010--3axs__A2_O67010,0.9895861152222191,0.5,True
3cqr__A1_Q39249--3cqr__B1_Q39249,0.8919967277490182,0.5,True
3s8k__A1_P80691--3s8k__B1_P80691,0.9141394357490578,0.5,True
4oun__A1_O31418--4oun__A2_O31418,0.9618437314701701,0.5,True
2iab__A1_Q825J7--2iab__B1_Q825J7,0.92934086082341,0.5,True
3o3n__A1_Q5U924--3o3n__B1_Q5U923,0.9585027579542473,0.5,False
6f3z__A1_P0ADC3--6f3z__B1_P61316,0.9408474905039836,0.5,False
1hr7__A1_P11914--1hr7__B1_P10507,0.9361352222458484,0.5,False
8gko__B1_P28296--8gko__A1_P28296,0.9345523013377234,0.5,True
2gkv__A1_P00777--2gkv__B1_P68390,0.9092423501377178,0.5,False
8stx__A1_Q4E4E1--8stx__B1_Q4E4E1,0.9793553307537208,0.5,True
4m36__A1_Q582G4--4m36__A2_Q582G4,0.9435866782677316,0.5,True
5wpu__A1_A0A076NBW8--5wpu__A2_A0A076NBW8,0.9412585633766112,0.5,True
5yps__A1_A0A0W4ZF97--5yps__B1_A0A0W4ZF97,0.9588678315203272,0.5,True
5oge__E1_P40107--5oge__A1_P40107,0.9231878497675458,0.5,True
5fey__B1_Q13049--5fey__A1_Q13049,0.9407855364003167,0.5,True
8hce__B1_Q91XB0--8hce__A1_Q91XB0,0.9202811177072798,0.5,True
1ggp__B1_Q7SIF1--1ggp__A1_Q7SIF0,0.9268536797517742,0.5,False
5z50__A1_O05926--5z50__B1_O05926,0.933863644204863,0.5,True
6eyy__A1_A0A1S5PRR0--6eyy__B1_A0A1S5PRR0,0.8476769545393922,0.5,True
7t9u__A1_Q86WV6--7t9u__A2_Q86WV6,0.9775353003227518,0.5,True
6ey4__A1_Q5EGM3--6ey4__A2_Q5EGM3,0.9009534344687267,0.5,True
2hvg__A1_A5KBL5--2hvg__B1_A5KBL5,0.9119403970742233,0.5,True
6wp7__A1_Q82H41--6wp7__B1_Q82H41,0.9183248105685583,0.5,True
7dnu__A1_P32092--7dnu__A2_P32092,0.8466844431556645,0.5,True
3w8i__A1_Q9BUL8--3w8i__B1_Q9P289,0.9435015350284975,0.5,False
4oky__A1_Q52612--4oky__A2_Q52612,0.9136367281009243,0.5,True
7t63__B1_UNDEFINED--7t63__A1_UNDEFINED,0.8260376861324159,0.5,True
7x20__A1_P54708--7x20__B1_P07340,0.9610829085092816,0.5,False
3hnw__A1_D0VWZ2--3hnw__B1_D0VWZ2,0.9381069265775611,0.5,True
8r37__A1_A0A086IRG1--8r37__B1_A0A086IRG1,0.9101205528331436,0.5,True
7zm5__A1_Q6WGM0--7zm5__B1_Q6WGM0,0.9788090188975352,0.5,True
2z7j__A1_P25220--2z7j__A2_P25220,0.5967885178010979,0.5,True
1rqg__A1_Q9V011--1rqg__A2_Q9V011,0.8754435147031052,0.5,True
8brl__A1_F7J213--8brl__A2_F7J213,0.9811205765489563,0.5,True
6noi__A1_UNDEFINED--6noi__B1_UNDEFINED,0.9403022058066258,0.5,True
7qiu__A1_P94538--7qiu__B1_P94538,0.988383603961735,0.5,True
6sjs__A1_B8FUR2--6sjs__B1_B8FUR2,0.98891610853035,0.5,True
8hlg__A1_Q9RR88--8hlg__B1_Q9RR88,0.8984696104027142,0.5,True
6mpc__A1_B3DQP5--6mpc__B1_B3DQP5,0.9939375392822024,0.5,True
4uae__A1_O00629--4uae__B1_P31345,0.8890589764853236,0.5,False
7pcr__A1_P56185--7pcr__A2_P56185,0.897312590614055,0.5,True
3bvq__B1_Q2I6W2--3bvq__A1_Q2I6W2,0.9538383058602865,0.5,True
7a67__B1_UNDEFINED--7a67__A1_Q9V1Z9,0.8677537090581599,0.5,False
6bsu__A1_Q9LZJ3--6bsu__B1_Q9LZJ3,0.9133955689265494,0.5,True
