system_id,auroc,bacc,is_homodimer
8c9j__B1_P15559--8c9j__A1_P15559,0.8827738025355696,0.5,True
5x1j__A1_G2IQS7--5x1j__A2_G2IQS7,0.9135905569955335,0.5,True
7tq1__A1_P0AC13--7tq1__A2_P0AC13,0.5428797632136253,0.5,True
7t5y__A1_P0A7E1--7t5y__B1_P0A7E1,0.8313962908391012,0.5,True
5c21__A1_P09986--5c21__B1_P09986,0.5634162868972091,0.5,True
7zvd__A1_P11413--7zvd__A2_P11413,0.9344788694507082,0.5,True
2snw__A1_P03316--2snw__B1_P03316,0.6160573736627136,0.5,True
7ynw__B2_Q57834--7ynw__A1_Q57834,0.663264694673138,0.5,True
3qt7__A1_Q9FD73--3qt7__B1_Q9FD73,0.9607696613490064,0.5,True
4aye__D1_Q9JXV4--4aye__A1_P08603,0.9203760844476765,0.5,False
7wjk__A1_P93836--7wjk__A2_P93836,0.6382241609785385,0.5,True
2if9__A1_Q98ZP7--2if9__B1_Q98ZP7,0.8020207944018131,0.5,True
7wbt__A1_Q288C4--7wbt__B1_Q288C4,0.5523794458661696,0.5,True
6pyp__A1_P21695--6pyp__B1_P21695,0.7692427922623879,0.5,True
3nr1__A1_Q8N4P3--3nr1__B1_Q8N4P3,0.8567662142290431,0.5,True
5or3__A1_Q2UNF9--5or3__D1_Q2UNF9,0.7838509062092507,0.5,True
1zlh__A1_P00730--1zlh__B1_Q5EPH2,0.7687960339943344,0.5,False
8b1s__A1_B0LPL6--8b1s__A2_B0LPL6,0.4704304927964352,0.5,True
1poy__A1_P0AFK9--1poy__B1_P0AFK9,0.8674576392769066,0.5,True
5n47__B1_P02751--5n47__A1_P80188,0.806508973303967,0.5,False
7ol3__B1_Q8WXF7--7ol3__A1_Q8WXF7,0.8170202271821443,0.5,True
4hsl__A1_Q1LCS4--4hsl__A2_Q1LCS4,0.6961658154630826,0.5,True
1zrs__A1_Q9HTZ1--1zrs__B1_Q9HTZ1,0.6669599297977821,0.5,True
1na8__A1_Q9UJY5--1na8__B1_Q9UJY5,0.6255038312692388,0.5,True
7z6m__A1_A0A0H3LM39--7z6m__A2_A0A0H3LM39,0.5771593118700925,0.5,True
1aua__A1_P24280--1aua__A2_P24280,0.9874941349505464,0.5,True
7xub__A1_Q96KQ7--7xub__B1_Q96KQ7,0.8303066383435487,0.5,True
4wu2__A1_Q7WUJ1--4wu2__B1_Q7WUJ1,0.749347343499536,0.5,True
3zyh__A1_Q05097--3zyh__B1_Q05097,0.5206388404357948,0.5,True
8a21__A1_A0QJI1--8a21__A2_A0QJI1,0.8590868851757784,0.5,True
2j8q__A1_O43809--2j8q__B1_O43809,0.9416425138385072,0.5,True
4oky__A1_Q52612--4oky__A2_Q52612,0.555117742086754,0.5,True
4uae__A1_O00629--4uae__B1_P31345,0.7976878491447968,0.5,False
4e5u__B1_Q9HZN8--4e5u__A1_Q9HZN8,0.9697891788656468,0.5,True
1yhc__A1_O67648--1yhc__B1_O67648,0.7432467862953909,0.5,True
6w08__B1_Q9KL63--6w08__A1_Q9KL63,0.6419786387885831,0.5,True
1reo__A1_Q6STF1--1reo__A2_Q6STF1,0.9587060244672387,0.5,True
8hyi__A1_P22223--8hyi__B1_P22223,0.5560899507455036,0.5,True
1t72__A1_O67053--1t72__B1_O67053,0.40627944647567915,0.5,True
5z1o__A1_D0VWU8--5z1o__B1_D0VWU8,0.3305510304319889,0.5,True
2p69__A1_Q96GD0--2p69__A2_Q96GD0,0.9591684648443364,0.5,True
2wyn__B1_P13482--2wyn__D1_P13482,0.8555560596744103,0.5,True
