system_id,auroc,bacc,is_homodimer
8iyi__A1_Q6CVU4--8iyi__B1_Q6CVU4,0.9657264958592751,0.5,True
1uus__A1_O00910--1uus__A2_O00910,0.9506014504964506,0.5,True
1zt2__A1_Q97Z83--1zt2__C1_Q9UWW1,0.9925807473609257,0.5,False
7uex__A1_Q9H999--7uex__A2_Q9H999,0.9695554783738487,0.5,True
6jqy__A1_P9WF13--6jqy__B1_P9WF13,0.9738901018922853,0.6497270742358079,True
6l6w__A1_A0A3B6UEU3--6l6w__A2_A0A3B6UEU3,0.9965381548956104,0.5,True
8h56__A1_Q8BB16--8h56__B1_Q8BB16,0.9618660504914432,0.5,True
8grj__B1_Q8GQE7--8grj__A1_A0A0H3KLY3,0.9522870116784301,0.5,False
2j0n__B1_P18013--2j0n__A1_P18013,0.822802309107828,0.5,True
5djt__A1_O49004--5djt__B1_UNDEFINED,0.9572323683211359,0.5,False
5ae6__B1_Q92458--5ae6__A1_Q92458,0.9667508910029814,0.5,True
3v1e__A1_UNDEFINED--3v1e__B1_UNDEFINED,0.9264035087719298,0.5,True
7qi3__A1_W7NDP8--7qi3__C1_W7NDP8,0.9686573861394461,0.5,True
2yve__A1_Q8NMG3--2yve__B1_Q8NMG3,0.9817641651764804,0.5118110236220472,True
5ynx__A1_B2GM84--5ynx__B1_B2GM84,0.9706251919167942,0.5,True
2r6u__A1_Q0S814--2r6u__C1_Q0S814,0.9393382792206749,0.5028593225434953,True
8b6m__A1_Q9H2K2--8b6m__B1_Q9H2K2,0.8367301942760303,0.5103122485241086,True
3kc2__A1_P36151--3kc2__B1_P36151,0.9944643276226238,0.5041666666666667,True
3vp5__A1_Q9CHR1--3vp5__A2_Q9CHR1,0.985296595270884,0.5,True
7pvh__A1_B2RLE7--7pvh__B1_B2RLE7,0.7791940240215134,0.5,True
4nqf__B2_Q7CW19--4nqf__A1_Q7CW19,0.929596952756327,0.5,True
1vjh__A1_P0C0B0--1vjh__B1_P0C0B0,0.9178507645680792,0.5,True
5xw4__B1_Q00684--5xw4__A1_Q00684,0.9132527225568778,0.5,True
8aai__A1_O00560--8aai__C1_O00560,0.8757945077205321,0.5,True
4xdl__A1_P57789--4xdl__B1_P57789,0.890495335484571,0.5,True
6ukl__A1_P0A901--6ukl__F1_P0A901,0.9159320084521358,0.5035714285714286,True
5dot__A1_P31327--5dot__B1_P31327,0.9589543106432067,0.5,True
5by4__A1_P0ABV6--5by4__A2_P0ABV6,0.9788287601977922,0.5102280124961123,True
7zxs__A1_Q86TI2--7zxs__C1_Q86TI2,0.9804730420359605,0.5,True
1v6u__A1_Q7SI98--1v6u__B1_Q7SI98,0.921966183431961,0.5,True
