system_id,auroc,bacc,is_homodimer
3c07__A1_Q9KZ96--3c07__B1_Q9KZ96,0.661510567792049,0.5,True
3iqy__A1_P28366--3iqy__A2_P28366,0.750678755591117,0.5,True
7e76__A1_A0A3B6LNA8--7e76__B1_A0A3B6LNA8,0.652668214743964,0.5,True
3cqc__A1_P57740--3cqc__B1_Q8WUM0,0.860363278698746,0.5,False
7x1k__A1_Q6DL91--7x1k__B1_Q6DL91,0.5115129472122759,0.5,True
8sgd__A1_P25342--8sgd__B1_P32457,0.6816868505160014,0.5,False
3ecf__A1_Q3M5E4--3ecf__B1_Q3M5E4,0.48087499917318743,0.5,True
6j94__A1_Q93VK5--6j94__B1_Q93VK5,0.76091084460823,0.5,True
7xsh__A1_K1KV82--7xsh__B2_K1KV82,0.8699307943506741,0.5,True
8v14__A1_G5EEF9--8v14__B1_G5EEF9,0.5882783283470456,0.5,True
6r76__A1_H3ZMH8--6r76__B1_H3ZMH8,0.9230174477259967,0.5,True
8ap0__A1_A0A5S9CYM0--8ap0__A2_A0A5S9CYM0,0.4417486131564044,0.5,True
3qph__A1_Q9HGZ9--3qph__A2_Q9HGZ9,0.8279767265786614,0.5,True
3o6j__A1_O67987--3o6j__B1_O67987,0.9151429170471441,0.5,True
6o6z__A1_B6YWC3--6o6z__B1_B6YWC3,0.9110529722942051,0.5,True
3fil__A1_P19909--3fil__B1_P19909,0.25530143756303425,0.5,True
6do2__A1_P11021--6do2__B1_P11021,0.8264945214842456,0.5,True
7f4q__B1_Q22GC0--7f4q__A1_I7M8B9,0.7102983912469787,0.5,False
4hfg__A1_Q9NQG5--4hfg__B1_Q9NQG5,0.3016591393068589,0.5,True
7yh2__A1_A0A1Q9P883--7yh2__B1_A0A1Q9P883,0.9468301411085357,0.5,True
3axs__A1_O67010--3axs__A2_O67010,0.879656208123983,0.5,True
3cqr__A1_Q39249--3cqr__B1_Q39249,0.3960482921983648,0.5,True
3s8k__A1_P80691--3s8k__B1_P80691,0.8940469855909728,0.5,True
4oun__A1_O31418--4oun__A2_O31418,0.9489627466697202,0.5,True
3o3n__A1_Q5U924--3o3n__B1_Q5U923,0.7134258333926362,0.5,False
6f3z__A1_P0ADC3--6f3z__B1_P61316,0.9579434146145578,0.5,False
1hr7__A1_P11914--1hr7__B1_P10507,0.7139123086336148,0.5,False
8gko__B1_P28296--8gko__A1_P28296,0.9313833550694139,0.5,True
2gkv__A1_P00777--2gkv__B1_P68390,0.8871411517217667,0.5,False
8stx__A1_Q4E4E1--8stx__B1_Q4E4E1,0.7102359275599355,0.5,True
4m36__A1_Q582G4--4m36__A2_Q582G4,0.7934895939075536,0.5,True
5wpu__A1_A0A076NBW8--5wpu__A2_A0A076NBW8,0.6578063236897703,0.5,True
5yps__A1_A0A0W4ZF97--5yps__B1_A0A0W4ZF97,0.949401490265203,0.5,True
5oge__E1_P40107--5oge__A1_P40107,0.6084138659928446,0.5,True
5fey__B1_Q13049--5fey__A1_Q13049,0.5261027419780108,0.5,True
8hce__B1_Q91XB0--8hce__A1_Q91XB0,0.789933776438255,0.5,True
1ggp__B1_Q7SIF1--1ggp__A1_Q7SIF0,0.6688301386051427,0.5,False
5z50__A1_O05926--5z50__B1_O05926,0.939118428468176,0.5,True
7t9u__A1_Q86WV6--7t9u__A2_Q86WV6,0.9252458788040709,0.5,True
6ey4__A1_Q5EGM3--6ey4__A2_Q5EGM3,0.8074031415130641,0.5,True
2hvg__A1_A5KBL5--2hvg__B1_A5KBL5,0.947887867076282,0.5,True
6wp7__A1_Q82H41--6wp7__B1_Q82H41,0.9194325167260965,0.5,True
6kfs__A1_B7FR28--6kfs__A2_B7FR28,0.45766909345652373,0.5,True
3shg__A1_E6Z0R3--3shg__B1_E6Z0R4,0.6686435059805913,0.5,False
