system_id,auroc,bacc,is_homodimer
8iyi__A1_Q6CVU4--8iyi__B1_Q6CVU4,0.9745845595323848,0.5,True
1uus__A1_O00910--1uus__A2_O00910,0.9265249763185922,0.5,True
1zt2__A1_Q97Z83--1zt2__C1_Q9UWW1,0.9905864017039209,0.5,False
7uex__A1_Q9H999--7uex__A2_Q9H999,0.9596491089682729,0.5,True
6jqy__A1_P9WF13--6jqy__B1_P9WF13,0.9313682678311499,0.5800582241630277,True
6l6w__A1_A0A3B6UEU3--6l6w__A2_A0A3B6UEU3,0.9917219408431228,0.5,True
8h56__A1_Q8BB16--8h56__B1_Q8BB16,0.9011147906999949,0.5,True
8grj__B1_Q8GQE7--8grj__A1_A0A0H3KLY3,0.9404284302647624,0.5,False
2j0n__B1_P18013--2j0n__A1_P18013,0.8652776470834249,0.5,True
3rq1__A1_D1BN29--3rq1__C1_D1BN29,0.9643697827673099,0.5,True
5djt__A1_O49004--5djt__B1_UNDEFINED,0.9561596117183592,0.5,False
5ae6__B1_Q92458--5ae6__A1_Q92458,0.9348006848525903,0.5,True
3v1e__A1_UNDEFINED--3v1e__B1_UNDEFINED,0.8437719298245614,0.5,True
7qi3__A1_W7NDP8--7qi3__C1_W7NDP8,0.9517737415907518,0.5,True
2yve__A1_Q8NMG3--2yve__B1_Q8NMG3,0.9820273942085935,0.5,True
5ynx__A1_B2GM84--5ynx__B1_B2GM84,0.9655887300806851,0.5,True
2r6u__A1_Q0S814--2r6u__C1_Q0S814,0.9373409976635372,0.5,True
8b6m__A1_Q9H2K2--8b6m__B1_Q9H2K2,0.8149619161667772,0.520554400314725,True
3kc2__A1_P36151--3kc2__B1_P36151,0.9827571286083079,0.5,True
3vp5__A1_Q9CHR1--3vp5__A2_Q9CHR1,0.9794166373660718,0.5,True
7pvh__A1_B2RLE7--7pvh__B1_B2RLE7,0.7651936087830644,0.5,True
4nqf__B2_Q7CW19--4nqf__A1_Q7CW19,0.9351574357430679,0.5,True
1vjh__A1_P0C0B0--1vjh__B1_P0C0B0,0.9088242009489464,0.5,True
5xw4__B1_Q00684--5xw4__A1_Q00684,0.9111507866316835,0.5,True
8aai__A1_O00560--8aai__C1_O00560,0.8313230966213117,0.5,True
4xdl__A1_P57789--4xdl__B1_P57789,0.8662884551014173,0.5,True
6ukl__A1_P0A901--6ukl__F1_P0A901,0.9217562254259503,0.5035714285714286,True
5dot__A1_P31327--5dot__B1_P31327,0.9242386793364594,0.5,True
5by4__A1_P0ABV6--5by4__A2_P0ABV6,0.9812929774216255,0.5239266426330986,True
7zxs__A1_Q86TI2--7zxs__C1_Q86TI2,0.9783654435948936,0.5,True
1v6u__A1_Q7SI98--1v6u__B1_Q7SI98,0.8935274066416776,0.5,True
6e27__A1_Q9H257--6e27__B1_Q9H257,0.8431230149087944,0.5,True
7szd__A1_Q96S44--7szd__B1_Q9Y3C4,0.9849687501322354,0.5,False
1h9r__A1_P0A9G8--1h9r__B1_P0A9G8,0.9346840981301109,0.5,True
3on6__A1_A7M0J6--3on6__B1_A7M0J6,0.9668220375654883,0.5,True
8fwy__A1_Q4DGA2--8fwy__B1_Q4DGA2,0.9603814645864824,0.5,True
1yu6__A1_P00780--1yu6__C1_P68390,0.9534165656938576,0.5,False
6ek1__A1_A0A452CST7--6ek1__A2_A0A452CST7,0.9803577136114823,0.5,True
6ckj__A1_P0A0Z8--6ckj__A2_P0A0Z8,0.9800767344964436,0.5,True
7yj0__B1_UNDEFINED--7yj0__A1_UNDEFINED,0.9791032891630376,0.5,True
1w33__A1_O50957--1w33__B1_O50957,0.9828904371416242,0.5,True
4usk__B1_H7C745--4usk__B2_H7C745,0.9482603190931661,0.5,True
6cmv__B1_Q4J9G1--6cmv__A1_Q4J9G1,0.9870606211494353,0.49995955019820404,True
7y70__A1_F4KCC2--7y70__A2_F4KCC2,0.923296585159113,0.5,True
3cwx__A1_P94837--3cwx__B1_P94837,0.9547601589466083,0.5,True
3p1y__A1_O29362--3p1y__B1_O29362,0.9363086450739982,0.5,True
8a8i__A1_Q9R9V9--8a8i__B1_Q9R9V9,0.9835725247963111,0.5,True
5d1l__A1_P62837--5d1l__B1_Q96BH1,0.9027142738996108,0.5,False
8bcs__A1_UNDEFINED--8bcs__A2_UNDEFINED,0.9356464970077979,0.6045608414435109,True
8og3__A1_P38489--8og3__B1_P38489,0.9672987971197758,0.5,True
3c07__A1_Q9KZ96--3c07__B1_Q9KZ96,0.982587373510029,0.5,True
3iqy__A1_P28366--3iqy__A2_P28366,0.9643504769781036,0.5,True
4afi__A1_P70280--4afi__B1_P70280,0.920384357984858,0.5,True
7e76__A1_A0A3B6LNA8--7e76__B1_A0A3B6LNA8,0.8902690311478474,0.5,True
3cqc__A1_P57740--3cqc__B1_Q8WUM0,0.9607302886921635,0.5,False
7x1k__A1_Q6DL91--7x1k__B1_Q6DL91,0.9525020890798435,0.5,True
6ydr__A1_A0A3S8UVN5--6ydr__A2_A0A3S8UVN5,0.8625281600506732,0.5,True
8egw__B1_Q6V0I7--8egw__A1_Q96JQ0,0.9195479085089474,0.5,False
8sgd__A1_P25342--8sgd__B1_P32457,0.9657202835439544,0.5,False
3ecf__A1_Q3M5E4--3ecf__B1_Q3M5E4,0.9455886078385561,0.5,True
6j94__A1_Q93VK5--6j94__B1_Q93VK5,0.9883924744203685,0.5,True
7xsh__A1_K1KV82--7xsh__B2_K1KV82,0.9898352048752216,0.5,True
7fct__B1_A0A4Y1LJC5--7fct__A1_A0A4Y1LJC5,0.971209268065324,0.5,True
8v14__A1_G5EEF9--8v14__B1_G5EEF9,0.9328245732255167,0.5,True
6r76__A1_H3ZMH8--6r76__B1_H3ZMH8,0.9733082674472175,0.5,True
8ap0__A1_A0A5S9CYM0--8ap0__A2_A0A5S9CYM0,0.9879468464440088,0.5,True
5j10__A1_UNDEFINED--5j10__B1_UNDEFINED,0.9811994516312104,0.5839578774297666,True
3qph__A1_Q9HGZ9--3qph__A2_Q9HGZ9,0.9308961874804801,0.5,True
3o6j__A1_O67987--3o6j__B1_O67987,0.9837743801623728,0.5,True
6o6z__A1_B6YWC3--6o6z__B1_B6YWC3,0.9665975507030389,0.5,True
7edp__B1_Q5JT35--7edp__A1_Q8TEK3,0.9082311602870813,0.5,False
3fil__A1_P19909--3fil__B1_P19909,0.9643251629440384,0.5128205128205128,True
6do2__A1_P11021--6do2__B1_P11021,0.990023919018018,0.5,True
7f4q__B1_Q22GC0--7f4q__A1_I7M8B9,0.942128824091113,0.5,False
4hfg__A1_Q9NQG5--4hfg__B1_Q9NQG5,0.9594786260818106,0.5,True
7yh2__A1_A0A1Q9P883--7yh2__B1_A0A1Q9P883,0.9939721217733667,0.5,True
3axs__A1_O67010--3axs__A2_O67010,0.977590881916689,0.5,True
3cqr__A1_Q39249--3cqr__B1_Q39249,0.8874751445352459,0.5,True
3s8k__A1_P80691--3s8k__B1_P80691,0.9630955242845982,0.5,True
4oun__A1_O31418--4oun__A2_O31418,0.9697825357022939,0.5415380741121756,True
2iab__A1_Q825J7--2iab__B1_Q825J7,0.9745340226514557,0.5,True
3o3n__A1_Q5U924--3o3n__B1_Q5U923,0.9246200012749484,0.5,False
6f3z__A1_P0ADC3--6f3z__B1_P61316,0.9712542847878451,0.5,False
1hr7__A1_P11914--1hr7__B1_P10507,0.9454334631669767,0.5,False
8gko__B1_P28296--8gko__A1_P28296,0.9846795674332863,0.5,True
2gkv__A1_P00777--2gkv__B1_P68390,0.937822919616229,0.5,False
8stx__A1_Q4E4E1--8stx__B1_Q4E4E1,0.9806394557464887,0.5,True
4m36__A1_Q582G4--4m36__A2_Q582G4,0.9776635201029034,0.5,True
5wpu__A1_A0A076NBW8--5wpu__A2_A0A076NBW8,0.942131189127596,0.5,True
5yps__A1_A0A0W4ZF97--5yps__B1_A0A0W4ZF97,0.9363987236792144,0.5,True
5oge__E1_P40107--5oge__A1_P40107,0.9890260224966918,0.5,True
5fey__B1_Q13049--5fey__A1_Q13049,0.958384814378656,0.5,True
8hce__B1_Q91XB0--8hce__A1_Q91XB0,0.9671834120876925,0.5,True
1ggp__B1_Q7SIF1--1ggp__A1_Q7SIF0,0.9581326992399628,0.5,False
5z50__A1_O05926--5z50__B1_O05926,0.9726874392958369,0.5,True
6eyy__A1_A0A1S5PRR0--6eyy__B1_A0A1S5PRR0,0.8440073306032929,0.5,True
7t9u__A1_Q86WV6--7t9u__A2_Q86WV6,0.9775394946281435,0.5,True
6ey4__A1_Q5EGM3--6ey4__A2_Q5EGM3,0.9315624099553914,0.5,True
2hvg__A1_A5KBL5--2hvg__B1_A5KBL5,0.9628089772239815,0.5,True
6wp7__A1_Q82H41--6wp7__B1_Q82H41,0.963672643327657,0.6045577402875133,True
7dnu__A1_P32092--7dnu__A2_P32092,0.9275433034714342,0.5,True
3w8i__A1_Q9BUL8--3w8i__B1_Q9P289,0.9643763236067485,0.5108695652173914,False
4oky__A1_Q52612--4oky__A2_Q52612,0.9949843277456742,0.5,True
7t63__B1_UNDEFINED--7t63__A1_UNDEFINED,0.9290800594696972,0.5,True
7x20__A1_P54708--7x20__B1_P07340,0.9354536557181259,0.5,False
3hnw__A1_D0VWZ2--3hnw__B1_D0VWZ2,0.936098768528804,0.5,True
8r37__A1_A0A086IRG1--8r37__B1_A0A086IRG1,0.927601950448266,0.4999738466366775,True
7zm5__A1_Q6WGM0--7zm5__B1_Q6WGM0,0.9699418742908379,0.5,True
2z7j__A1_P25220--2z7j__A2_P25220,0.5966102466586726,0.5,True
1rqg__A1_Q9V011--1rqg__A2_Q9V011,0.9466957015841908,0.5,True
8brl__A1_F7J213--8brl__A2_F7J213,0.9814301770932856,0.5,True
6noi__A1_UNDEFINED--6noi__B1_UNDEFINED,0.9497023450614279,0.5,True
7qiu__A1_P94538--7qiu__B1_P94538,0.9897290569960739,0.5054864937011456,True
6sjs__A1_B8FUR2--6sjs__B1_B8FUR2,0.9898713413350717,0.5,True
8hlg__A1_Q9RR88--8hlg__B1_Q9RR88,0.9455315499388297,0.5,True
6mpc__A1_B3DQP5--6mpc__B1_B3DQP5,0.9787110622655485,0.5,True
4uae__A1_O00629--4uae__B1_P31345,0.9181264970287576,0.5,False
7pcr__A1_P56185--7pcr__A2_P56185,0.954499908542024,0.5,True
3bvq__B1_Q2I6W2--3bvq__A1_Q2I6W2,0.979781923828969,0.5,True
7a67__B1_UNDEFINED--7a67__A1_Q9V1Z9,0.9688560706137901,0.5468920988147913,False
6bsu__A1_Q9LZJ3--6bsu__B1_Q9LZJ3,0.950684490738991,0.5,True
4e5u__B1_Q9HZN8--4e5u__A1_Q9HZN8,0.9927569519441899,0.5722103932397364,True
8a52__A1_P23222--8a52__B1_P23222,0.9561037770543436,0.5,True
