system_id,auroc,bacc,is_homodimer
3c07__A1_Q9KZ96--3c07__B1_Q9KZ96,0.966114846064268,0.5,True
3iqy__A1_P28366--3iqy__A2_P28366,0.9021760344944948,0.5,True
7e76__A1_A0A3B6LNA8--7e76__B1_A0A3B6LNA8,0.7700647582484519,0.5,True
3cqc__A1_P57740--3cqc__B1_Q8WUM0,0.913580153849751,0.5,False
7x1k__A1_Q6DL91--7x1k__B1_Q6DL91,0.8377302639220281,0.5,True
8sgd__A1_P25342--8sgd__B1_P32457,0.7394259355376476,0.5,False
3ecf__A1_Q3M5E4--3ecf__B1_Q3M5E4,0.9061468551358288,0.5,True
6j94__A1_Q93VK5--6j94__B1_Q93VK5,0.7573115327995145,0.5,True
7xsh__A1_K1KV82--7xsh__B2_K1KV82,0.9276917014176171,0.5,True
8v14__A1_G5EEF9--8v14__B1_G5EEF9,0.8693118922961856,0.5,True
6r76__A1_H3ZMH8--6r76__B1_H3ZMH8,0.9694848188859879,0.5,True
8ap0__A1_A0A5S9CYM0--8ap0__A2_A0A5S9CYM0,0.9819313880399074,0.5,True
3qph__A1_Q9HGZ9--3qph__A2_Q9HGZ9,0.8275190868132253,0.5,True
3o6j__A1_O67987--3o6j__B1_O67987,0.9789984845973679,0.5,True
6o6z__A1_B6YWC3--6o6z__B1_B6YWC3,0.935327370448582,0.5,True
3fil__A1_P19909--3fil__B1_P19909,0.7700408523721286,0.5,True
6do2__A1_P11021--6do2__B1_P11021,0.7294248396270604,0.5,True
7f4q__B1_Q22GC0--7f4q__A1_I7M8B9,0.8295025679439619,0.5,False
4hfg__A1_Q9NQG5--4hfg__B1_Q9NQG5,0.33882198769101163,0.5,True
7yh2__A1_A0A1Q9P883--7yh2__B1_A0A1Q9P883,0.9837458055161757,0.5,True
3axs__A1_O67010--3axs__A2_O67010,0.952055563548955,0.5,True
3cqr__A1_Q39249--3cqr__B1_Q39249,0.4925520660876358,0.5,True
3s8k__A1_P80691--3s8k__B1_P80691,0.9448470413351576,0.5,True
4oun__A1_O31418--4oun__A2_O31418,0.950735919582536,0.5,True
2iab__A1_Q825J7--2iab__B1_Q825J7,0.826691781258407,0.5,True
3o3n__A1_Q5U924--3o3n__B1_Q5U923,0.9548940601015844,0.5,False
6f3z__A1_P0ADC3--6f3z__B1_P61316,0.9585809017953121,0.5,False
1hr7__A1_P11914--1hr7__B1_P10507,0.9091824414678836,0.5,False
8gko__B1_P28296--8gko__A1_P28296,0.9509785127332792,0.5,True
2gkv__A1_P00777--2gkv__B1_P68390,0.9019596830609071,0.5,False
8stx__A1_Q4E4E1--8stx__B1_Q4E4E1,0.978254662064134,0.5,True
4m36__A1_Q582G4--4m36__A2_Q582G4,0.9396074927672833,0.5,True
5wpu__A1_A0A076NBW8--5wpu__A2_A0A076NBW8,0.8528546000732639,0.5,True
5yps__A1_A0A0W4ZF97--5yps__B1_A0A0W4ZF97,0.9283494490573039,0.5,True
5oge__E1_P40107--5oge__A1_P40107,0.9362685488328585,0.5,True
5fey__B1_Q13049--5fey__A1_Q13049,0.8849401411215022,0.5,True
8hce__B1_Q91XB0--8hce__A1_Q91XB0,0.8273565338445602,0.5,True
1ggp__B1_Q7SIF1--1ggp__A1_Q7SIF0,0.8883223428277629,0.5,False
5z50__A1_O05926--5z50__B1_O05926,0.9563463858322434,0.5,True
7t9u__A1_Q86WV6--7t9u__A2_Q86WV6,0.9607582680815402,0.5,True
6ey4__A1_Q5EGM3--6ey4__A2_Q5EGM3,0.9140907120219217,0.5,True
2hvg__A1_A5KBL5--2hvg__B1_A5KBL5,0.9256203522987921,0.5,True
6wp7__A1_Q82H41--6wp7__B1_Q82H41,0.8737430143383054,0.5,True
6kfs__A1_B7FR28--6kfs__A2_B7FR28,0.7070637101096351,0.5,True
3shg__A1_E6Z0R3--3shg__B1_E6Z0R4,0.8241383505416384,0.5,False
4wjm__A1_Q2YNY7--4wjm__A2_Q2YNY7,0.9738687492314685,0.5,True
8hmo__A1_A0A0H4P0S7--8hmo__B1_A0A0H4P0S7,0.9705721324938407,0.5,True
8dfk__A1_P39694--8dfk__B1_P39694,0.7386282469465013,0.5,True
6n91__A1_Q9KNI7--6n91__B1_Q9KNI7,0.8910736771467651,0.5,True
1dev__A1_Q15796--1dev__B1_O95405,0.5848489055138391,0.5,False
8c9j__B1_P15559--8c9j__A1_P15559,0.9542508301758996,0.5,True
3rd7__B1_A0A0H2ZY91--3rd7__A1_A0A0H2ZY91,0.9499381798532183,0.5,True
5x1j__A1_G2IQS7--5x1j__A2_G2IQS7,0.935312984426196,0.5,True
3r2p__A1_P02647--3r2p__A2_P02647,0.8462586266754868,0.5,True
1pdk__A1_P15319--1pdk__B1_P62532,0.8403257743623592,0.5,False
7bjg__A1_Q8IGY1--7bjg__A2_Q8IGY1,0.8971912336910763,0.5,True
3kcp__A1_Q06851--3kcp__B1_A3DF10,0.9424920912381749,0.5,False
7bbq__A1_Q6I6B7--7bbq__A2_Q6I6B7,0.9605050520081546,0.5,True
3dpj__E1_Q5LS67--3dpj__F1_Q5LS67,0.82664273281114,0.5,True
6okh__A1_Q04QG8--6okh__B1_Q04QG8,0.8921629942775826,0.5,True
7tq1__A1_P0AC13--7tq1__A2_P0AC13,0.983807661426817,0.5,True
7t5y__A1_P0A7E1--7t5y__B1_P0A7E1,0.9533690640901988,0.5,True
5o47__A1_J7HDY4--5o47__A2_J7HDY4,0.9899298995117818,0.5,True
1oo0__A1_P49028--1oo0__B1_Q9V535,0.8902812241521919,0.5,False
3edj__A1_Q8KKG0--3edj__B1_Q8KKG0,0.9093000161862568,0.5,True
5yr0__A1_O88597--5yr0__B1_Q8K245,0.9643857134909493,0.5,False
5c21__A1_P09986--5c21__B1_P09986,0.8157582795053727,0.5,True
2gok__A1_Q8U8Z6--2gok__B1_Q8U8Z6,0.9907510930226442,0.5,True
1ww1__A1_Q9WZW8--1ww1__B1_Q9WZW8,0.9804564707951748,0.5,True
1fm0__B1_P30749--1fm0__A1_P30748,0.9288708530921058,0.5,False
4jgo__B1_O31671--4jgo__A1_O31671,0.9026439302696804,0.5,True
3l2k__A1_Q8GPH0--3l2k__B1_Q8GPH0,0.8453347580157065,0.5,True
1yov__A1_Q13564--1yov__B1_Q8TBC4,0.9340107715196779,0.5,False
7zvd__A1_P11413--7zvd__A2_P11413,0.972952510599622,0.5,True
8grh__B1_P51553--8grh__A1_P50213,0.9349785731888518,0.5,False
1lxd__A1_Q03386--1lxd__B1_Q03386,0.331967632675941,0.5,True
5m97__A1_Q10113--5m97__B1_Q10113,0.962940613339103,0.5,True
7ax1__A1_Q9ULM6--7ax1__B1_Q9UIV1,0.9712306003959633,0.5,False
8d4w__A1_A0A8B4R830--8d4w__A2_A0A8B4R830,0.7378644335559719,0.5,True
7ynw__B2_Q57834--7ynw__A1_Q57834,0.9956172965028814,0.5,True
4rgp__A1_Q8DTU7--4rgp__B1_Q8DTU7,0.9370612274705195,0.5,True
8twd__C1_P0AEV1--8twd__A1_W8SRD3,0.7998117998674172,0.5,False
3fb9__A1_A0A0H2US72--3fb9__B1_A0A0H2US72,0.8738689783068099,0.5,True
8a39__A1_A0A024L404--8a39__C2_A0A024L404,0.9761659471702364,0.5,True
3ps8__A1_P01034--3ps8__A2_P01034,0.43777772302790086,0.5,True
7vwp__A2_A0A136PK59--7vwp__B1_A0A136PK59,0.9971401816564466,0.5,True
3a7p__A1_Q03818--3a7p__B1_Q03818,0.9392956128786009,0.5,True
4ql6__A1_A0A0H3MDM0--4ql6__C1_A0A0H3MDM0,0.8774800844189158,0.5,True
5nck__A1_Q8RDN7--5nck__B1_Q8RDN7,0.9737532785053113,0.5,True
3w8i__A1_Q9BUL8--3w8i__B1_Q9P289,0.9854481073878498,0.5,False
4oky__A1_Q52612--4oky__A2_Q52612,0.9658597061955763,0.5,True
7x20__A1_P54708--7x20__B1_P07340,0.9406797937862709,0.5,False
3hnw__A1_D0VWZ2--3hnw__B1_D0VWZ2,0.9494388221624855,0.5,True
8r37__A1_A0A086IRG1--8r37__B1_A0A086IRG1,0.8815608224163439,0.5,True
1rqg__A1_Q9V011--1rqg__A2_Q9V011,0.8720148338231749,0.5,True
8brl__A1_F7J213--8brl__A2_F7J213,0.9039324519390473,0.5,True
7qiu__A1_P94538--7qiu__B1_P94538,0.988692482513009,0.5,True
6sjs__A1_B8FUR2--6sjs__B1_B8FUR2,0.9829258929390181,0.5,True
8hlg__A1_Q9RR88--8hlg__B1_Q9RR88,0.9504175016759713,0.5,True
6mpc__A1_B3DQP5--6mpc__B1_B3DQP5,0.9895932712962212,0.5,True
7pcr__A1_P56185--7pcr__A2_P56185,0.8682750198705348,0.5,True
3bvq__B1_Q2I6W2--3bvq__A1_Q2I6W2,0.9115062795556919,0.5,True
6bsu__A1_Q9LZJ3--6bsu__B1_Q9LZJ3,0.8704831635669522,0.5,True
4e5u__B1_Q9HZN8--4e5u__A1_Q9HZN8,0.984587354266094,0.5,True
8a52__A1_P23222--8a52__B1_P23222,0.9175387298305889,0.5,True
1d0v__A1_Q05603--1d0v__A2_Q05603,0.973814231569706,0.5,True
