system_id,auroc,bacc,is_homodimer
8c9j__B1_P15559--8c9j__A1_P15559,0.9668357954591322,0.5,True
5x1j__A1_G2IQS7--5x1j__A2_G2IQS7,0.9551963080698233,0.5,True
7tq1__A1_P0AC13--7tq1__A2_P0AC13,0.9904854624244306,0.5276833597703754,True
7t5y__A1_P0A7E1--7t5y__B1_P0A7E1,0.9541848128474053,0.5,True
5c21__A1_P09986--5c21__B1_P09986,0.7969489061150329,0.5,True
7zvd__A1_P11413--7zvd__A2_P11413,0.9847816364268616,0.5,True
2snw__A1_P03316--2snw__B1_P03316,0.8619298065172938,0.5,True
7ynw__B2_Q57834--7ynw__A1_Q57834,0.995525706781521,0.5,True
3qt7__A1_Q9FD73--3qt7__B1_Q9FD73,0.9948675249556862,0.5,True
4aye__D1_Q9JXV4--4aye__A1_P08603,0.9220134775132969,0.5,False
7wjk__A1_P93836--7wjk__A2_P93836,0.9270272717318981,0.5,True
2if9__A1_Q98ZP7--2if9__B1_Q98ZP7,0.7974757464911932,0.5,True
7wbt__A1_Q288C4--7wbt__B1_Q288C4,0.967090458151208,0.5,True
6pyp__A1_P21695--6pyp__B1_P21695,0.9784762415815581,0.507928336266055,True
3nr1__A1_Q8N4P3--3nr1__B1_Q8N4P3,0.9829432463344014,0.5,True
5or3__A1_Q2UNF9--5or3__D1_Q2UNF9,0.9153988181362017,0.5,True
1zlh__A1_P00730--1zlh__B1_Q5EPH2,0.9295723469165394,0.5,False
8b1s__A1_B0LPL6--8b1s__A2_B0LPL6,0.9549508079758671,0.5,True
1poy__A1_P0AFK9--1poy__B1_P0AFK9,0.9788539568580561,0.5,True
5n47__B1_P02751--5n47__A1_P80188,0.8127042137618898,0.5,False
7ol3__B1_Q8WXF7--7ol3__A1_Q8WXF7,0.8188942030910944,0.5,True
4hsl__A1_Q1LCS4--4hsl__A2_Q1LCS4,0.957254460768125,0.5,True
1zrs__A1_Q9HTZ1--1zrs__B1_Q9HTZ1,0.9811508360774921,0.5,True
1na8__A1_Q9UJY5--1na8__B1_Q9UJY5,0.9198560441105172,0.5,True
7z6m__A1_A0A0H3LM39--7z6m__A2_A0A0H3LM39,0.8726974514256876,0.5,True
1aua__A1_P24280--1aua__A2_P24280,0.9961346252628303,0.513141221030166,True
7xub__A1_Q96KQ7--7xub__B1_Q96KQ7,0.9389600725216144,0.5,True
4wu2__A1_Q7WUJ1--4wu2__B1_Q7WUJ1,0.968372722095672,0.5,True
3zyh__A1_Q05097--3zyh__B1_Q05097,0.9565098093016875,0.5,True
8a21__A1_A0QJI1--8a21__A2_A0QJI1,0.9806937088792084,0.5,True
2j8q__A1_O43809--2j8q__B1_O43809,0.8692724378254555,0.5,True
4oky__A1_Q52612--4oky__A2_Q52612,0.9253069041431297,0.5,True
4uae__A1_O00629--4uae__B1_P31345,0.82438924737612,0.5,False
4e5u__B1_Q9HZN8--4e5u__A1_Q9HZN8,0.9819674160833871,0.5065666632615985,True
1yhc__A1_O67648--1yhc__B1_O67648,0.8727145490017659,0.5,True
6w08__B1_Q9KL63--6w08__A1_Q9KL63,0.9009203856053302,0.5,True
1reo__A1_Q6STF1--1reo__A2_Q6STF1,0.9793077962401648,0.5,True
8hyi__A1_P22223--8hyi__B1_P22223,0.6461662469262371,0.5,True
1t72__A1_O67053--1t72__B1_O67053,0.9848572221965104,0.5,True
5z1o__A1_D0VWU8--5z1o__B1_D0VWU8,0.6488608959157058,0.5,True
2p69__A1_Q96GD0--2p69__A2_Q96GD0,0.9859143486468178,0.5,True
2wyn__B1_P13482--2wyn__D1_P13482,0.9217036779473619,0.5,True
4wud__A1_P0AES6--4wud__A2_P0AES6,0.8885524850723445,0.5,True
6oe2__A1_Q8A9F0--6oe2__A2_Q8A9F0,0.9829624394476759,0.5,True
7cov__A1_Q06801--7cov__A2_Q06801,0.9434096961468047,0.5,True
2ecs__A1_P03040--2ecs__B1_P03040,0.7852154905601981,0.5,True
7czg__C1_Q8TDY2--7czg__A1_Q8TDY2,0.9409168994321833,0.5,True
3fmy__A1_Q46864--3fmy__A2_Q46864,0.8364853609702461,0.5,True
2qvc__A1_Q9WXW9--2qvc__B2_Q9WXW9,0.9911006918159183,0.5,True
3owf__A1_P00644--3owf__A2_P00644,0.40547750999961707,0.5,True
4ap5__A1_Q9Y2G5--4ap5__B1_Q9Y2G5,0.961518295034992,0.5,True
6ikj__A1_Q9I4L6--6ikj__B1_Q9I4L6,0.7259850993377484,0.5,True
8pte__A1_P00698--8pte__A2_P00698,0.9032297953972741,0.5,True
8p7m__A1_P0A434--8p7m__A2_P0A434,0.9748831330228894,0.5,True
3szw__A1_B7JBP8--3szw__A2_B7JBP8,0.9870395887572462,0.5,True
7qga__A1_P21589--7qga__A2_P21589,0.9655541664297693,0.5,True
6duy__A1_Q61301--6duy__B2_Q61301,0.6719036931238523,0.5,True
1mml__A1_P03355--1mml__A2_P03355,0.8794645329482687,0.5,True
7uay__A1_P08684--7uay__A2_P08684,0.9985761073651506,0.5,True
