system_id,auroc,bacc,is_homodimer
3c07__A1_Q9KZ96--3c07__B1_Q9KZ96,0.9650081538052857,0.5,True
3iqy__A1_P28366--3iqy__A2_P28366,0.9171138016360785,0.5,True
7e76__A1_A0A3B6LNA8--7e76__B1_A0A3B6LNA8,0.7575889699130174,0.5,True
3cqc__A1_P57740--3cqc__B1_Q8WUM0,0.9650246798693758,0.5,False
7x1k__A1_Q6DL91--7x1k__B1_Q6DL91,0.8093811288946999,0.5,True
8sgd__A1_P25342--8sgd__B1_P32457,0.7746177859282454,0.5,False
3ecf__A1_Q3M5E4--3ecf__B1_Q3M5E4,0.8961936857980064,0.5,True
6j94__A1_Q93VK5--6j94__B1_Q93VK5,0.8343712571054055,0.5,True
7xsh__A1_K1KV82--7xsh__B2_K1KV82,0.9573456504370528,0.5,True
8v14__A1_G5EEF9--8v14__B1_G5EEF9,0.870163612565445,0.5,True
6r76__A1_H3ZMH8--6r76__B1_H3ZMH8,0.9711844695987721,0.5,True
8ap0__A1_A0A5S9CYM0--8ap0__A2_A0A5S9CYM0,0.9853942151716334,0.5,True
3qph__A1_Q9HGZ9--3qph__A2_Q9HGZ9,0.8407993233056344,0.5,True
3o6j__A1_O67987--3o6j__B1_O67987,0.9810955590702504,0.5,True
6o6z__A1_B6YWC3--6o6z__B1_B6YWC3,0.9573342450630753,0.5,True
3fil__A1_P19909--3fil__B1_P19909,0.6557871155322877,0.5,True
6do2__A1_P11021--6do2__B1_P11021,0.7494994556165795,0.5,True
7f4q__B1_Q22GC0--7f4q__A1_I7M8B9,0.8392423406795495,0.5,False
4hfg__A1_Q9NQG5--4hfg__B1_Q9NQG5,0.3762119517312928,0.5,True
7yh2__A1_A0A1Q9P883--7yh2__B1_A0A1Q9P883,0.9881657012167333,0.5086206896551724,True
3axs__A1_O67010--3axs__A2_O67010,0.9570289137668889,0.5,True
3cqr__A1_Q39249--3cqr__B1_Q39249,0.48525369535501733,0.5,True
3s8k__A1_P80691--3s8k__B1_P80691,0.9614172114393824,0.5,True
4oun__A1_O31418--4oun__A2_O31418,0.9538409317694787,0.5138398139514594,True
2iab__A1_Q825J7--2iab__B1_Q825J7,0.8465003167124521,0.5,True
3o3n__A1_Q5U924--3o3n__B1_Q5U923,0.9509002046383901,0.5,False
6f3z__A1_P0ADC3--6f3z__B1_P61316,0.9648252644162456,0.5,False
1hr7__A1_P11914--1hr7__B1_P10507,0.9141214525587813,0.5,False
8gko__B1_P28296--8gko__A1_P28296,0.9627565932957756,0.5,True
2gkv__A1_P00777--2gkv__B1_P68390,0.8811440959578846,0.5,False
8stx__A1_Q4E4E1--8stx__B1_Q4E4E1,0.9859839645322123,0.5,True
4m36__A1_Q582G4--4m36__A2_Q582G4,0.9486188046073004,0.5,True
