system_id,auroc,bacc,is_homodimer
8c9j__B1_P15559--8c9j__A1_P15559,0.9587226805811997,0.5,True
5x1j__A1_G2IQS7--5x1j__A2_G2IQS7,0.9823784951096715,0.5,True
7tq1__A1_P0AC13--7tq1__A2_P0AC13,0.9937191742690648,0.5277525996424705,True
7t5y__A1_P0A7E1--7t5y__B1_P0A7E1,0.9722641177739235,0.5,True
5c21__A1_P09986--5c21__B1_P09986,0.8757690331516397,0.5,True
7zvd__A1_P11413--7zvd__A2_P11413,0.9747599952313687,0.5,True
2snw__A1_P03316--2snw__B1_P03316,0.9513530192122975,0.5,True
7ynw__B2_Q57834--7ynw__A1_Q57834,0.9952831488224516,0.5,True
3qt7__A1_Q9FD73--3qt7__B1_Q9FD73,0.977772180240694,0.5,True
4aye__D1_Q9JXV4--4aye__A1_P08603,0.8640343063173033,0.5,False
7wjk__A1_P93836--7wjk__A2_P93836,0.9174526270067873,0.5,True
2if9__A1_Q98ZP7--2if9__B1_Q98ZP7,0.7926871694962427,0.5,True
7wbt__A1_Q288C4--7wbt__B1_Q288C4,0.9932751198512152,0.5,True
6pyp__A1_P21695--6pyp__B1_P21695,0.9763417818029091,0.5,True
3nr1__A1_Q8N4P3--3nr1__B1_Q8N4P3,0.9798651519009887,0.5,True
5or3__A1_Q2UNF9--5or3__D1_Q2UNF9,0.8411693923583201,0.5,True
1zlh__A1_P00730--1zlh__B1_Q5EPH2,0.8971976465460885,0.5,False
8b1s__A1_B0LPL6--8b1s__A2_B0LPL6,0.9212933872401146,0.5,True
1poy__A1_P0AFK9--1poy__B1_P0AFK9,0.9534141879271525,0.5,True
5n47__B1_P02751--5n47__A1_P80188,0.7888785185274827,0.5,False
7ol3__B1_Q8WXF7--7ol3__A1_Q8WXF7,0.8311199127585138,0.5,True
4hsl__A1_Q1LCS4--4hsl__A2_Q1LCS4,0.972394967598537,0.5,True
1zrs__A1_Q9HTZ1--1zrs__B1_Q9HTZ1,0.9890950012171893,0.5,True
1na8__A1_Q9UJY5--1na8__B1_Q9UJY5,0.85144830870477,0.5,True
7z6m__A1_A0A0H3LM39--7z6m__A2_A0A0H3LM39,0.9295883985691172,0.5,True
1aua__A1_P24280--1aua__A2_P24280,0.9973357171858528,0.5,True
7xub__A1_Q96KQ7--7xub__B1_Q96KQ7,0.9773629733861912,0.5,True
4wu2__A1_Q7WUJ1--4wu2__B1_Q7WUJ1,0.9914322850755084,0.5,True
3zyh__A1_Q05097--3zyh__B1_Q05097,0.9788602961191795,0.5,True
8a21__A1_A0QJI1--8a21__A2_A0QJI1,0.9733023037252269,0.5,True
2j8q__A1_O43809--2j8q__B1_O43809,0.9699961112427619,0.5,True
4oky__A1_Q52612--4oky__A2_Q52612,0.9409974322219243,0.5,True
4uae__A1_O00629--4uae__B1_P31345,0.7666536593757654,0.5,False
4e5u__B1_Q9HZN8--4e5u__A1_Q9HZN8,0.9881975594712402,0.5,True
1yhc__A1_O67648--1yhc__B1_O67648,0.9584743867549873,0.5,True
6w08__B1_Q9KL63--6w08__A1_Q9KL63,0.9269378937722536,0.5,True
1reo__A1_Q6STF1--1reo__A2_Q6STF1,0.9846991671181593,0.5,True
8hyi__A1_P22223--8hyi__B1_P22223,0.81161722644439,0.5,True
1t72__A1_O67053--1t72__B1_O67053,0.9555759707502198,0.5,True
5z1o__A1_D0VWU8--5z1o__B1_D0VWU8,0.759457565862583,0.5,True
2p69__A1_Q96GD0--2p69__A2_Q96GD0,0.9576388710717669,0.5,True
2wyn__B1_P13482--2wyn__D1_P13482,0.9016351662240822,0.5,True
4wud__A1_P0AES6--4wud__A2_P0AES6,0.9411914213859633,0.5,True
6oe2__A1_Q8A9F0--6oe2__A2_Q8A9F0,0.9828159386435313,0.5,True
7cov__A1_Q06801--7cov__A2_Q06801,0.9284722230244605,0.5,True
2ecs__A1_P03040--2ecs__B1_P03040,0.7825750541627979,0.5,True
7czg__C1_Q8TDY2--7czg__A1_Q8TDY2,0.9752514523256881,0.5,True
3fmy__A1_Q46864--3fmy__A2_Q46864,0.7858421339832274,0.5,True
2qvc__A1_Q9WXW9--2qvc__B2_Q9WXW9,0.9661406940329965,0.5,True
3owf__A1_P00644--3owf__A2_P00644,0.47873884725040994,0.5,True
4ap5__A1_Q9Y2G5--4ap5__B1_Q9Y2G5,0.9734910040227035,0.5,True
6ikj__A1_Q9I4L6--6ikj__B1_Q9I4L6,0.7507533112582782,0.5,True
8pte__A1_P00698--8pte__A2_P00698,0.9190612738708751,0.5,True
8p7m__A1_P0A434--8p7m__A2_P0A434,0.9496518151937314,0.5,True
3szw__A1_B7JBP8--3szw__A2_B7JBP8,0.9914447068037302,0.5,True
7qga__A1_P21589--7qga__A2_P21589,0.9866606625787255,0.5,True
6duy__A1_Q61301--6duy__B2_Q61301,0.7344132034624549,0.5,True
1mml__A1_P03355--1mml__A2_P03355,0.907340024107572,0.5,True
7uay__A1_P08684--7uay__A2_P08684,0.9992505828237634,0.5,True
6yev__C1_P0A744--6yev__A1_P0AA25,0.9291196033674497,0.5,False
5fwt__A1_Q96MU8--5fwt__A2_Q96MU8,0.9240294531324497,0.5,True
7yo8__A1_P60520--7yo8__A2_P60520,0.7482191787877539,0.5,True
1ax2__A1_P16404--1ax2__A2_P16404,0.9350953684500478,0.5,True
7dus__A1_P08965--7dus__A2_P08965,0.5885454016481098,0.5,True
2hsa__B1_Q9FEW9--2hsa__A1_Q9FEW9,0.9956578928193632,0.5,True
7qh0__B1_P48499--7qh0__A1_P48499,0.9842758122543096,0.5,True
3pui__A1_Q9L9D7--3pui__A2_Q9L9D7,0.9930979251421835,0.5,True
1rqi__A1_P22939--1rqi__B1_P22939,0.9899283339598692,0.5,True
5uph__B1_Q14108--5uph__A1_Q14108,0.7538556729042624,0.5,True
6z68__A1_A0A1M6Y2K1--6z68__B1_A0A1M6Y2K1,0.898231925017237,0.5,True
5yz5__A1_Q16555--5yz5__A2_Q16555,0.9633442622860697,0.5,True
4kjq__A1_P37019--4kjq__B1_P37019,0.9087788509887889,0.5,True
7t1e__A1_P78556--7t1e__B1_P78556,0.2504296698326549,0.5,True
8d0m__A1_P28907--8d0m__A2_P28907,0.9094950399979951,0.5,True
7y51__A1_Q8RBF4--7y51__A2_Q8RBF4,0.957956508680551,0.5,True
5ab8__A1_P9WN25--5ab8__A2_P9WN25,0.6730333212348042,0.5,True
2wo2__A1_P54764--2wo2__B1_P52799,0.8752131462828777,0.5,False
4u66__A1_A8MI53--4u66__A2_A8MI53,0.9705606077926453,0.5,True
7tvh__B1_Q9I2Q1--7tvh__A1_Q9I2Q1,0.9223008077864978,0.5,True
6m4v__A1_P0AEX9--6m4v__B1_P62942,0.7068008914988655,0.5,False
7y28__A1_P07814--7y28__B1_P07814,0.9848040451474527,0.5,True
1rve__A1_P04390--1rve__B1_P04390,0.9814626714068053,0.5182926829268293,True
3egv__A1_Q84BQ9--3egv__B1_Q5SLP6,0.734491444276165,0.5,False
2afv__A1_Q8EXP7--2afv__B1_Q8EXP7,0.9464216675974053,0.5,True
7w93__A1_A0A140N873--7w93__A2_A0A140N873,0.9790195724307422,0.5,True
