system_id,auroc,bacc,is_homodimer
8iyi__A1_Q6CVU4--8iyi__B1_Q6CVU4,0.9614491476287559,0.5,True
1uus__A1_O00910--1uus__A2_O00910,0.9440898241113541,0.5,True
1zt2__A1_Q97Z83--1zt2__C1_Q9UWW1,0.9710265334683063,0.5,False
7uex__A1_Q9H999--7uex__A2_Q9H999,0.944773827084188,0.5,True
6jqy__A1_P9WF13--6jqy__B1_P9WF13,0.9380367540029113,0.5330604075691412,True
6l6w__A1_A0A3B6UEU3--6l6w__A2_A0A3B6UEU3,0.9962003897036201,0.5,True
8h56__A1_Q8BB16--8h56__B1_Q8BB16,0.9028951816095396,0.5,True
8grj__B1_Q8GQE7--8grj__A1_A0A0H3KLY3,0.9473982827555326,0.5,False
2j0n__B1_P18013--2j0n__A1_P18013,0.8335620484510106,0.5,True
3rq1__A1_D1BN29--3rq1__C1_D1BN29,0.9480632402920319,0.5,True
5djt__A1_O49004--5djt__B1_UNDEFINED,0.9446766964721576,0.5,False
5ae6__B1_Q92458--5ae6__A1_Q92458,0.9118893902438947,0.5,True
3v1e__A1_UNDEFINED--3v1e__B1_UNDEFINED,0.8521491228070175,0.5,True
7qi3__A1_W7NDP8--7qi3__C1_W7NDP8,0.9387812763288254,0.5,True
2yve__A1_Q8NMG3--2yve__B1_Q8NMG3,0.92984381481391,0.5,True
5ynx__A1_B2GM84--5ynx__B1_B2GM84,0.9417053326024011,0.5,True
2r6u__A1_Q0S814--2r6u__C1_Q0S814,0.8283496997479503,0.5,True
8b6m__A1_Q9H2K2--8b6m__B1_Q9H2K2,0.7587758331166614,0.5,True
3kc2__A1_P36151--3kc2__B1_P36151,0.9825640417611933,0.5,True
3vp5__A1_Q9CHR1--3vp5__A2_Q9CHR1,0.9328705060212721,0.5,True
7pvh__A1_B2RLE7--7pvh__B1_B2RLE7,0.8273897574310252,0.5,True
4nqf__B2_Q7CW19--4nqf__A1_Q7CW19,0.9193174551739658,0.5,True
1vjh__A1_P0C0B0--1vjh__B1_P0C0B0,0.9110792780000188,0.5,True
5xw4__B1_Q00684--5xw4__A1_Q00684,0.8849596543493761,0.5,True
8aai__A1_O00560--8aai__C1_O00560,0.749098475003822,0.5,True
4xdl__A1_P57789--4xdl__B1_P57789,0.8331190063231173,0.5,True
6ukl__A1_P0A901--6ukl__F1_P0A901,0.8104809158263568,0.5,True
5dot__A1_P31327--5dot__B1_P31327,0.8923181288203506,0.5,True
5by4__A1_P0ABV6--5by4__A2_P0ABV6,0.9728152265203667,0.5,True
7zxs__A1_Q86TI2--7zxs__C1_Q86TI2,0.967721661646539,0.5,True
1v6u__A1_Q7SI98--1v6u__B1_Q7SI98,0.9069436341225923,0.5,True
6e27__A1_Q9H257--6e27__B1_Q9H257,0.7735580427651562,0.5,True
7szd__A1_Q96S44--7szd__B1_Q9Y3C4,0.9524471657900343,0.5,False
1h9r__A1_P0A9G8--1h9r__B1_P0A9G8,0.8716279621804073,0.5,True
3on6__A1_A7M0J6--3on6__B1_A7M0J6,0.9600854227433648,0.5,True
8fwy__A1_Q4DGA2--8fwy__B1_Q4DGA2,0.9253259285251565,0.5,True
1yu6__A1_P00780--1yu6__C1_P68390,0.9634351432597564,0.5,False
6ek1__A1_A0A452CST7--6ek1__A2_A0A452CST7,0.965705458785292,0.5,True
6ckj__A1_P0A0Z8--6ckj__A2_P0A0Z8,0.965687367391137,0.5,True
7yj0__B1_UNDEFINED--7yj0__A1_UNDEFINED,0.9427818259593762,0.5,True
1w33__A1_O50957--1w33__B1_O50957,0.9722827686880888,0.5,True
4usk__B1_H7C745--4usk__B2_H7C745,0.9060607918970514,0.5,True
6cmv__B1_Q4J9G1--6cmv__A1_Q4J9G1,0.9792441242390024,0.5,True
7y70__A1_F4KCC2--7y70__A2_F4KCC2,0.8948309635671053,0.5,True
3cwx__A1_P94837--3cwx__B1_P94837,0.9680337269396364,0.5,True
3p1y__A1_O29362--3p1y__B1_O29362,0.9170815487130493,0.5,True
8a8i__A1_Q9R9V9--8a8i__B1_Q9R9V9,0.9848680296827381,0.5,True
5d1l__A1_P62837--5d1l__B1_Q96BH1,0.7836094275199226,0.5,False
8bcs__A1_UNDEFINED--8bcs__A2_UNDEFINED,0.9156440790666748,0.5211267605633803,True
8og3__A1_P38489--8og3__B1_P38489,0.9468650913917253,0.5,True
3c07__A1_Q9KZ96--3c07__B1_Q9KZ96,0.9419579963292932,0.5,True
3iqy__A1_P28366--3iqy__A2_P28366,0.9540832745787345,0.5,True
4afi__A1_P70280--4afi__B1_P70280,0.9120528771565906,0.5,True
7e76__A1_A0A3B6LNA8--7e76__B1_A0A3B6LNA8,0.8727589703709864,0.5,True
3cqc__A1_P57740--3cqc__B1_Q8WUM0,0.9687205638655096,0.5,False
7x1k__A1_Q6DL91--7x1k__B1_Q6DL91,0.905788045286814,0.5,True
6ydr__A1_A0A3S8UVN5--6ydr__A2_A0A3S8UVN5,0.8692588283199407,0.5,True
8egw__B1_Q6V0I7--8egw__A1_Q96JQ0,0.9179919209139988,0.5,False
8sgd__A1_P25342--8sgd__B1_P32457,0.8702569490078821,0.5,False
3ecf__A1_Q3M5E4--3ecf__B1_Q3M5E4,0.9356084714341086,0.5,True
6j94__A1_Q93VK5--6j94__B1_Q93VK5,0.9681544263315143,0.5,True
7xsh__A1_K1KV82--7xsh__B2_K1KV82,0.9692407699603107,0.5,True
7fct__B1_A0A4Y1LJC5--7fct__A1_A0A4Y1LJC5,0.890447150207041,0.5,True
8v14__A1_G5EEF9--8v14__B1_G5EEF9,0.9266352201257863,0.5,True
6r76__A1_H3ZMH8--6r76__B1_H3ZMH8,0.9601515909397692,0.5,True
8ap0__A1_A0A5S9CYM0--8ap0__A2_A0A5S9CYM0,0.982256801843635,0.5,True
5j10__A1_UNDEFINED--5j10__B1_UNDEFINED,0.911621074363759,0.5271545311657041,True
3qph__A1_Q9HGZ9--3qph__A2_Q9HGZ9,0.9036645585151475,0.5,True
3o6j__A1_O67987--3o6j__B1_O67987,0.9683368945522386,0.5,True
6o6z__A1_B6YWC3--6o6z__B1_B6YWC3,0.930684590557225,0.5,True
7edp__B1_Q5JT35--7edp__A1_Q8TEK3,0.865318480861244,0.5,False
3fil__A1_P19909--3fil__B1_P19909,0.9759104208298552,0.5128205128205128,True
6do2__A1_P11021--6do2__B1_P11021,0.9943873692963879,0.5,True
7f4q__B1_Q22GC0--7f4q__A1_I7M8B9,0.8989130101920084,0.5,False
4hfg__A1_Q9NQG5--4hfg__B1_Q9NQG5,0.9302824395438838,0.5,True
7yh2__A1_A0A1Q9P883--7yh2__B1_A0A1Q9P883,0.9932988856095059,0.5,True
3axs__A1_O67010--3axs__A2_O67010,0.9520628980765882,0.5,True
3cqr__A1_Q39249--3cqr__B1_Q39249,0.9074694575749261,0.5,True
3s8k__A1_P80691--3s8k__B1_P80691,0.9497705476805784,0.5,True
4oun__A1_O31418--4oun__A2_O31418,0.9566669881480528,0.4999678518613772,True
2iab__A1_Q825J7--2iab__B1_Q825J7,0.9299200708132368,0.5,True
3o3n__A1_Q5U924--3o3n__B1_Q5U923,0.9426348984579377,0.5,False
6f3z__A1_P0ADC3--6f3z__B1_P61316,0.9632174124513618,0.5,False
1hr7__A1_P11914--1hr7__B1_P10507,0.9490910587071435,0.5,False
8gko__B1_P28296--8gko__A1_P28296,0.9596821797892372,0.5,True
2gkv__A1_P00777--2gkv__B1_P68390,0.9561105125159507,0.5,False
8stx__A1_Q4E4E1--8stx__B1_Q4E4E1,0.9684484344235877,0.5,True
4m36__A1_Q582G4--4m36__A2_Q582G4,0.9479455268699054,0.5,True
5wpu__A1_A0A076NBW8--5wpu__A2_A0A076NBW8,0.8415330003631897,0.5,True
5yps__A1_A0A0W4ZF97--5yps__B1_A0A0W4ZF97,0.9506540810956641,0.5,True
5oge__E1_P40107--5oge__A1_P40107,0.93841662482833,0.5,True
5fey__B1_Q13049--5fey__A1_Q13049,0.886783528639549,0.5073529411764706,True
8hce__B1_Q91XB0--8hce__A1_Q91XB0,0.9461951960353303,0.5,True
1ggp__B1_Q7SIF1--1ggp__A1_Q7SIF0,0.9198622912120653,0.49997472279329985,False
5z50__A1_O05926--5z50__B1_O05926,0.942044343705011,0.5,True
6eyy__A1_A0A1S5PRR0--6eyy__B1_A0A1S5PRR0,0.8759833209016048,0.5,True
7t9u__A1_Q86WV6--7t9u__A2_Q86WV6,0.9661860342213378,0.5,True
6ey4__A1_Q5EGM3--6ey4__A2_Q5EGM3,0.9264363340237001,0.5,True
2hvg__A1_A5KBL5--2hvg__B1_A5KBL5,0.9208058167793745,0.5,True
6wp7__A1_Q82H41--6wp7__B1_Q82H41,0.9286711417369609,0.5,True
7dnu__A1_P32092--7dnu__A2_P32092,0.818471082534894,0.5,True
3w8i__A1_Q9BUL8--3w8i__B1_Q9P289,0.9113743124351522,0.4999591369728669,False
4oky__A1_Q52612--4oky__A2_Q52612,0.9513981083120789,0.5,True
7t63__B1_UNDEFINED--7t63__A1_UNDEFINED,0.8835496770674496,0.5,True
7x20__A1_P54708--7x20__B1_P07340,0.9432512057722051,0.5,False
3hnw__A1_D0VWZ2--3hnw__B1_D0VWZ2,0.9176171023825735,0.5,True
8r37__A1_A0A086IRG1--8r37__B1_A0A086IRG1,0.8691831956781761,0.5,True
7zm5__A1_Q6WGM0--7zm5__B1_Q6WGM0,0.9686778891058633,0.5,True
2z7j__A1_P25220--2z7j__A2_P25220,0.5745711440809251,0.5,True
1rqg__A1_Q9V011--1rqg__A2_Q9V011,0.8872179968958631,0.5,True
8brl__A1_F7J213--8brl__A2_F7J213,0.9664797531002192,0.5,True
6noi__A1_UNDEFINED--6noi__B1_UNDEFINED,0.9250337354000318,0.5,True
7qiu__A1_P94538--7qiu__B1_P94538,0.9887863066301728,0.5,True
6sjs__A1_B8FUR2--6sjs__B1_B8FUR2,0.9829618581752305,0.5,True
8hlg__A1_Q9RR88--8hlg__B1_Q9RR88,0.860931047964988,0.5,True
6mpc__A1_B3DQP5--6mpc__B1_B3DQP5,0.9817070861879277,0.5,True
4uae__A1_O00629--4uae__B1_P31345,0.8890028978376656,0.5,False
7pcr__A1_P56185--7pcr__A2_P56185,0.928571551378038,0.5,True
3bvq__B1_Q2I6W2--3bvq__A1_Q2I6W2,0.9693162644623412,0.5,True
7a67__B1_UNDEFINED--7a67__A1_Q9V1Z9,0.9182492462352982,0.5134729644231304,False
6bsu__A1_Q9LZJ3--6bsu__B1_Q9LZJ3,0.9271596632726851,0.5,True
4e5u__B1_Q9HZN8--4e5u__A1_Q9HZN8,0.9647770720197362,0.5,True
8a52__A1_P23222--8a52__B1_P23222,0.9321859612583849,0.5,True
1d0v__A1_Q05603--1d0v__A2_Q05603,0.9787290552294567,0.5,True
3gwq__A1_Q145Q0--3gwq__B1_Q145Q0,0.8892902145092434,0.5,True
1yhc__A1_O67648--1yhc__B1_O67648,0.9390392173495066,0.5,True
7lxs__A1_Q8ZMZ2--7lxs__C1_Q8ZMZ2,0.9270414993306559,0.5,True
6w08__B1_Q9KL63--6w08__A1_Q9KL63,0.9739036060032269,0.5,True
7wrm__A1_D0IVL9--7wrm__B1_D0IVL9,0.9180911036168341,0.5,True
2yww__B1_Q58801--2yww__A1_Q58801,0.9820939315041057,0.5,True
3lm6__A1_P40869--3lm6__B1_P40869,0.9740083551524001,0.5,True
7trw__A1_A0A380PDL3--7trw__A2_A0A380PDL3,0.7932647035423399,0.5,True
8syc__A1_Q13370--8syc__B1_Q13370,0.9122594245441049,0.5,True
1gk6__A1_P03069--1gk6__B1_P03069,0.9201363962670495,0.5,True
1reo__A1_Q6STF1--1reo__A2_Q6STF1,0.9759901263447158,0.5,True
6s3b__A1_Q88JK6--6s3b__B1_Q88JK6,0.9700433665950907,0.5,True
7tl5__A1_A0A3F3B310--7tl5__B1_A0A3F3B310,0.9205835443938033,0.5,True
2asf__A1_P9WLL7--2asf__A2_P9WLL7,0.9143750196973586,0.5,True
8ilj__A1_A0A242MJ43--8ilj__B1_A0A242MJ43,0.9888554953062907,0.5,True
8ezg__A1_P01116--8ezg__B1_UNDEFINED,0.9432071686236709,0.5,False
7uh4__A1_UNDEFINED--7uh4__B1_UNDEFINED,0.9550780159660581,0.5,True
4usc__A1_A0A0A0Y4H8--4usc__B1_A0A0A0Y4H8,0.9781235200050729,0.5,True
5yp3__A1_Q6F3I7--5yp3__B1_Q6F3I7,0.9928984696606342,0.5,True
8aid__A1_Q9HWJ8--8aid__B1_Q9HWJ8,0.9724562311346959,0.5,True
7yp6__B1_E5L4T5--7yp6__A1_E5L4T5,0.8748722887032001,0.5,True
4aql__A1_Q9Y2T3--4aql__A2_Q9Y2T3,0.9727118922536745,0.5,True
3idf__A1_O34252--3idf__B1_O34252,0.9040121293800539,0.5,True
8fjr__A1_D1A807--8fjr__B1_D1A807,0.8824513949613061,0.5,True
7z56__B1_F0NGX6--7z56__A1_F0NGX6,0.9891963645570339,0.5,True
7olf__A1_A9CEY7--7olf__B1_A9CEY7,0.9607735714005569,0.5,True
6ikj__A1_Q9I4L6--6ikj__B1_Q9I4L6,0.7236054233536249,0.5,True
8b2q__A1_D0EM77--8b2q__B1_G8UM88,0.9721467361344478,0.5,False
5x42__A1_Q5ZYB7--5x42__B1_Q5ZYC6,0.9502418569824035,0.5,False
1vkh__A1_Q04066--1vkh__B1_Q04066,0.9388913145261433,0.5,True
5omd__A1_Q04377--5omd__A2_Q04377,0.728450026945239,0.5,True
2vsg__A1_P26329--2vsg__B1_P26329,0.9509030247074166,0.5,True
1jql__A1_P0A988--1jql__B1_P28630,0.981315704627169,0.5,False
1w9c__A1_O14980--1w9c__B1_O14980,0.9899920086344952,0.5,True
7n35__A1_UNDEFINED--7n35__B2_UNDEFINED,0.8868583797155226,0.5,True
3upl__A1_Q2YIM3--3upl__B1_Q2YIM3,0.9760064409693273,0.5,True
3tm2__A1_Q83XN4--3tm2__B1_Q83XN4,0.933281662577409,0.5,True
3kxa__A1_Q5F9C2--3kxa__B1_Q5F9C2,0.8622001594567473,0.5,True
7yls__B1_C5CSP6--7yls__A1_C5CSP7,0.8961665278445283,0.5,False
7psg__A1_Q6D515--7psg__B1_Q6D515,0.9619832741093716,0.5,True
8pte__A1_P00698--8pte__A2_P00698,0.8441215985883014,0.5,True
7ytu__B1_P68623--7ytu__A1_P68458,0.8978780302459002,0.5,False
7ykc__A1_P14843--7ykc__B1_P14843,0.9542011366961982,0.5,True
3wxe__A1_E7FEV5--3wxe__B1_P0CG48,0.9281468391537726,0.5,False
7zr3__A1_A0A8E4HNI8--7zr3__B1_A0A8E4HNI8,0.9626351593536246,0.5,True
2vjf__A1_Q00987--2vjf__B1_O15151,0.8799589956451762,0.5046961068531173,False
7pvo__A1_P56137--7pvo__A2_P56137,0.9419165140710779,0.5,True
3kkd__A1_Q9HXU1--3kkd__A2_Q9HXU1,0.9299862997624175,0.5,True
3mph__A1_P19801--3mph__B1_P19801,0.9138409450019461,0.5,True
6jc4__A1_A6TE44--6jc4__D1_A6TE44,0.8892949443812832,0.5,True
2rf4__A1_P46669--2rf4__B1_P50106,0.8811875709028526,0.5,False
4huz__A1_Q9ZBB0--4huz__A2_Q9ZBB0,0.8645252362696156,0.5,True
5gtj__B1_Q9BV47--5gtj__A1_Q9BV47,0.9721978247938253,0.5,True
2xw7__A1_A0QP85--2xw7__B1_A0QP85,0.9214248632078582,0.5,True
6l6h__A1_Q5ZZ22--6l6h__B1_Q5ZZ22,0.9396199174724613,0.5,True
8p7m__A1_P0A434--8p7m__A2_P0A434,0.97231292871128,0.5,True
6dm9__A1_UNDEFINED--6dm9__B1_UNDEFINED,0.877383364481081,0.5,True
6gou__A2_P97275--6gou__C1_P97275,0.9424155028357895,0.5,True
2wwo__A1_Q66ED7--2wwo__B1_Q66ED7,0.9728777311773023,0.5,True
8i3n__A1_Q12178--8i3n__C1_Q12178,0.9521998333548486,0.5,True
1s7i__A1_Q9I3Z5--1s7i__A2_Q9I3Z5,0.8286505942865842,0.5,True
3szw__A1_B7JBP8--3szw__A2_B7JBP8,0.9878114720613408,0.5,True
5x7r__A1_A0A193PKW5--5x7r__B1_A0A193PKW5,0.9069896799683355,0.5,True
2nys__A1_Q8U561--2nys__B1_Q8U561,0.9476169512489125,0.5,True
3gr5__A1_O52135--3gr5__A2_O52135,0.8260588812234267,0.5,True
3ded__A1_Q7P1I2--3ded__B1_Q7P1I2,0.8064387290357009,0.5,True
5b5x__A1_Q75NZ1--5b5x__A2_Q75NZ1,0.8468086966886692,0.5,True
7qga__A1_P21589--7qga__A2_P21589,0.9907997418241259,0.5,True
3sd2__A1_Q8A1T7--3sd2__A2_Q8A1T7,0.8908862876254181,0.5,True
8ow9__A1_G8UQH9--8ow9__B1_G8UQH9,0.95895200523863,0.5,True
3bcw__B1_A0A0H3LK92--3bcw__A1_A0A0H3LK92,0.947851595049324,0.5,True
6duy__A1_Q61301--6duy__B2_Q61301,0.9300092655612814,0.5,True
5zyf__A1_Q99ZW0--5zyf__B1_Q99ZW0,0.8640872172935149,0.5,True
1mml__A1_P03355--1mml__A2_P03355,0.9219274639668374,0.5,True
2b7o__A1_O53512--2b7o__B1_O53512,0.9068449524663926,0.5,True
1v57__A1_P77202--1v57__A2_P77202,0.9791899799112861,0.5,True
2hsa__B1_Q9FEW9--2hsa__A1_Q9FEW9,0.984714373529531,0.5,True
4tsd__A1_O25673--4tsd__B1_O25673,0.9751572393134786,0.5,True
7qh0__B1_P48499--7qh0__A1_P48499,0.9739879078923176,0.5,True
1ayf__B1_P00257--1ayf__A1_P00257,0.9379746750815638,0.5,True
3neu__A1_Q92AT3--3neu__A2_Q92AT3,0.9274544229075847,0.5,True
8f9x__A1_Q5LVE1--8f9x__B1_Q5LVE1,0.9447372150626441,0.5033112582781457,True
6ne2__A1_UNDEFINED--6ne2__B1_O75084,0.9484569343016632,0.5,False
2b4h__A1_P12473--2b4h__B1_P12473,0.8744839204131042,0.5,True
3pui__A1_Q9L9D7--3pui__A2_Q9L9D7,0.9359220931505112,0.5,True
1myl__A1_P03050--1myl__B1_P03050,0.835539403440638,0.5142696809363476,True
1rqi__A1_P22939--1rqi__B1_P22939,0.9780870312305431,0.5,True
3x1b__A1_UNDEFINED--3x1b__B1_UNDEFINED,0.9688069835551748,0.5,True
6pya__A1_P04278--6pya__A2_P04278,0.927583161613188,0.5,True
1r27__A1_P09152--1r27__B1_P11349,0.9233763998703601,0.5,False
7zuv__A1_A0A2K3DY10--7zuv__D2_A0A2K3DY10,0.8431767839962041,0.5,True
2aho__A1_Q980A5--2aho__B1_Q97Z79,0.9228965344654134,0.5,False
6mni__A1_A0A2V0QX35--6mni__B1_A0A2V0QX35,0.9892238714491286,0.5,True
4kif__B1_Q643C8--4kif__A1_Q643C8,0.9694722165844534,0.5,True
7vyu__A1_A0A022MLV4--7vyu__B1_A0A022MLV4,0.9230689240597654,0.5,True
7vmv__B1_Q5I3B6--7vmv__A1_Q58HT7,0.7075128124845508,0.5,False
3g23__A1_Q2G8F3--3g23__B1_Q2G8F3,0.9702576329938764,0.5,True
3ui3__A1_O05728--3ui3__B1_O05728,0.9516114973660887,0.5,True
8ohy__A1_Q556V8--8ohy__A2_Q556V8,0.9743540308698059,0.5,True
5zgo__A1_Q5SHW6--5zgo__B1_Q5SHW6,0.9151994265958344,0.5,True
5uph__B1_Q14108--5uph__A1_Q14108,0.9626261774937461,0.5,True
6u3w__A1_P53622--6u3w__B1_P40509,0.946997296090925,0.5,False
2gsv__B1_P71066--2gsv__A1_P71066,0.8695091455950757,0.5,True
7yh1__A1_A0A5B9DB95--7yh1__B1_A0A5B9DB95,0.9543280169591227,0.5,True
6c6r__A1_Q14534--6c6r__B1_Q14534,0.9921867470143434,0.5,True
6p4o__B1_Q970I1--6p4o__A1_Q970I2,0.9667750444021906,0.5,False
8i8y__B1_UNDEFINED--8i8y__A1_UNDEFINED,0.5758308977368918,0.4998921949115998,True
2oys__A1_A0A0H2URW2--2oys__B1_A0A0H2URW2,0.9466821512565842,0.5,True
8i85__A1_D2B3F1--8i85__B1_D2B3F1,0.8278639590638394,0.5,True
2b0a__A1_Q58193--2b0a__A2_Q58193,0.9636649679436847,0.5,True
3ayh__B1_O94285--3ayh__A1_Q9C0Z9,0.8507583948784674,0.5,False
7yji__A1_UNDEFINED--7yji__A2_UNDEFINED,0.9926310529752835,0.5,True
2g38__B1_Q79FE1--2g38__A1_Q7D756,0.9005102546608118,0.5,False
2z6k__A1_P15927--2z6k__C1_P35244,0.8703375215570337,0.5,False
3p8b__B1_Q8TZK1--3p8b__A1_Q8U440,0.8975601374570447,0.5,False
6z68__A1_A0A1M6Y2K1--6z68__B1_A0A1M6Y2K1,0.9151513401897591,0.5,True
5yz5__A1_Q16555--5yz5__A2_Q16555,0.9374949474885106,0.5,True
6dk9__A1_A7A1Y4--6dk9__A2_A7A1Y4,0.9471051374639384,0.5,True
6fls__A1_UNDEFINED--6fls__B1_UNDEFINED,0.9692600540087674,0.5,True
2p19__A1_Q8NTZ4--2p19__C1_Q8NTZ4,0.9104066705377789,0.5,True
8ai1__B1_Q45595--8ai1__A1_Q45595,0.9533709949729678,0.5,True
7px0__B1_Q9VF53--7px0__A1_Q9VF53,0.9721612997227979,0.5,True
4cmz__B1_Q9BXM0--4cmz__A1_Q9BXM0,0.8495144716909822,0.4998734337425642,True
8gyz__B1_Q93ZE2--8gyz__A1_Q93ZE2,0.9637878668762156,0.5,True
5j1l__B1_O26069--5j1l__A1_O26068,0.9603624459006319,0.5,False
7ubk__B1_P03047--7ubk__A1_P03047,0.8395446587279313,0.5,True
6j26__A1_Q5JIZ3--6j26__B1_Q5JIZ3,0.9446509355413939,0.5,True
8ic1__A1_UNDEFINED--8ic1__B1_UNDEFINED,0.8713351258116543,0.5,True
6jqv__A1_Q8LC68--6jqv__B1_Q8LC68,0.9650163099766723,0.5,True
2ns9__A1_Q9Y9R3--2ns9__B1_Q9Y9R3,0.9727454510063205,0.5,True
5l8s__A1_E1VFE0--5l8s__C1_E1VFE0,0.9674396923983662,0.5,True
6zrw__A1_B3VS76--6zrw__B1_B3VS76,0.9331519209613269,0.5,True
5fcn__B1_Q66GS9--5fcn__A1_Q66GS9,0.9250460499386,0.5,True
7vl1__A1_I0AIT9--7vl1__B1_I0AIT9,0.9689949479008699,0.5,True
2rek__B2_Q9ADD9--2rek__A1_Q9ADD9,0.9788219209660934,0.5,True
