system_id,auroc,bacc,is_homodimer
3c07__A1_Q9KZ96--3c07__B1_Q9KZ96,0.9695924997414826,0.5,True
3iqy__A1_P28366--3iqy__A2_P28366,0.9341849999470401,0.5,True
7e76__A1_A0A3B6LNA8--7e76__B1_A0A3B6LNA8,0.6333247298327608,0.5,True
3cqc__A1_P57740--3cqc__B1_Q8WUM0,0.9488713975075405,0.5,False
7x1k__A1_Q6DL91--7x1k__B1_Q6DL91,0.49351859533614967,0.5,True
8sgd__A1_P25342--8sgd__B1_P32457,0.5957571391552375,0.5,False
3ecf__A1_Q3M5E4--3ecf__B1_Q3M5E4,0.9621865553666747,0.5,True
6j94__A1_Q93VK5--6j94__B1_Q93VK5,0.6025529947877097,0.5,True
7xsh__A1_K1KV82--7xsh__B2_K1KV82,0.738171125288561,0.5,True
8v14__A1_G5EEF9--8v14__B1_G5EEF9,0.7404398840688107,0.5,True
6r76__A1_H3ZMH8--6r76__B1_H3ZMH8,0.9402350429117317,0.5,True
8ap0__A1_A0A5S9CYM0--8ap0__A2_A0A5S9CYM0,0.9396110317337357,0.5,True
3qph__A1_Q9HGZ9--3qph__A2_Q9HGZ9,0.8401286552014304,0.5,True
3o6j__A1_O67987--3o6j__B1_O67987,0.9584101981228192,0.503473743808463,True
6o6z__A1_B6YWC3--6o6z__B1_B6YWC3,0.8870612859175371,0.4999892756793857,True
3fil__A1_P19909--3fil__B1_P19909,0.5726240976489831,0.5,True
6do2__A1_P11021--6do2__B1_P11021,0.7846529857696538,0.5,True
7f4q__B1_Q22GC0--7f4q__A1_I7M8B9,0.7432393684741968,0.5,False
4hfg__A1_Q9NQG5--4hfg__B1_Q9NQG5,0.21085147310041416,0.5,True
7yh2__A1_A0A1Q9P883--7yh2__B1_A0A1Q9P883,0.9740310093824626,0.5,True
3axs__A1_O67010--3axs__A2_O67010,0.9640766305502646,0.5,True
3cqr__A1_Q39249--3cqr__B1_Q39249,0.41026755983461105,0.5,True
3s8k__A1_P80691--3s8k__B1_P80691,0.9541145120694607,0.5,True
4oun__A1_O31418--4oun__A2_O31418,0.9003945761288599,0.5552856433996936,True
2iab__A1_Q825J7--2iab__B1_Q825J7,0.7656349239954271,0.5,True
3o3n__A1_Q5U924--3o3n__B1_Q5U923,0.8071785301168153,0.5,False
6f3z__A1_P0ADC3--6f3z__B1_P61316,0.8169019821951491,0.5,False
1hr7__A1_P11914--1hr7__B1_P10507,0.9092527960057412,0.5,False
8gko__B1_P28296--8gko__A1_P28296,0.8046517049798863,0.5,True
2gkv__A1_P00777--2gkv__B1_P68390,0.872588150791318,0.5,False
8stx__A1_Q4E4E1--8stx__B1_Q4E4E1,0.8259569590489914,0.5,True
4m36__A1_Q582G4--4m36__A2_Q582G4,0.8996212403477464,0.5,True
