system_id,auroc,bacc,is_homodimer
8c9j__B1_P15559--8c9j__A1_P15559,0.9625207443637029,0.5,True
5x1j__A1_G2IQS7--5x1j__A2_G2IQS7,0.9416843610220798,0.5,True
7tq1__A1_P0AC13--7tq1__A2_P0AC13,0.9814655353291202,0.5,True
7t5y__A1_P0A7E1--7t5y__B1_P0A7E1,0.9322542585755995,0.5,True
5c21__A1_P09986--5c21__B1_P09986,0.8253918699550234,0.5,True
7zvd__A1_P11413--7zvd__A2_P11413,0.9768418653780822,0.5,True
2snw__A1_P03316--2snw__B1_P03316,0.8751540592319614,0.5,True
7ynw__B2_Q57834--7ynw__A1_Q57834,0.9974520508946979,0.5,True
3qt7__A1_Q9FD73--3qt7__B1_Q9FD73,0.9749567745747427,0.5,True
4aye__D1_Q9JXV4--4aye__A1_P08603,0.8404644234131774,0.5,False
7wjk__A1_P93836--7wjk__A2_P93836,0.8543441537112103,0.5,True
2if9__A1_Q98ZP7--2if9__B1_Q98ZP7,0.7124219712933879,0.5,True
7wbt__A1_Q288C4--7wbt__B1_Q288C4,0.9434481708575987,0.5,True
6pyp__A1_P21695--6pyp__B1_P21695,0.9585353227589324,0.5,True
3nr1__A1_Q8N4P3--3nr1__B1_Q8N4P3,0.9897200588203258,0.5,True
5or3__A1_Q2UNF9--5or3__D1_Q2UNF9,0.8640904671972442,0.5,True
1zlh__A1_P00730--1zlh__B1_Q5EPH2,0.9258373283939856,0.5,False
8b1s__A1_B0LPL6--8b1s__A2_B0LPL6,0.9733715312112754,0.5,True
1poy__A1_P0AFK9--1poy__B1_P0AFK9,0.9323588202765667,0.5,True
5n47__B1_P02751--5n47__A1_P80188,0.8021849359827675,0.5,False
7ol3__B1_Q8WXF7--7ol3__A1_Q8WXF7,0.8306539236526282,0.5,True
4hsl__A1_Q1LCS4--4hsl__A2_Q1LCS4,0.9637281757750246,0.5,True
1zrs__A1_Q9HTZ1--1zrs__B1_Q9HTZ1,0.9685653655351192,0.5,True
1na8__A1_Q9UJY5--1na8__B1_Q9UJY5,0.9473749135776968,0.5,True
7z6m__A1_A0A0H3LM39--7z6m__A2_A0A0H3LM39,0.9145708093987028,0.5,True
1aua__A1_P24280--1aua__A2_P24280,0.9967638382989777,0.5,True
7xub__A1_Q96KQ7--7xub__B1_Q96KQ7,0.9323219093750423,0.5,True
4wu2__A1_Q7WUJ1--4wu2__B1_Q7WUJ1,0.9638946891082426,0.5,True
3zyh__A1_Q05097--3zyh__B1_Q05097,0.9218500589058964,0.5,True
8a21__A1_A0QJI1--8a21__A2_A0QJI1,0.9699605042022016,0.5,True
2j8q__A1_O43809--2j8q__B1_O43809,0.8811471226234528,0.5,True
4oky__A1_Q52612--4oky__A2_Q52612,0.9221794536687261,0.5,True
4uae__A1_O00629--4uae__B1_P31345,0.7590207922594031,0.5,False
4e5u__B1_Q9HZN8--4e5u__A1_Q9HZN8,0.9817820230501567,0.5,True
1yhc__A1_O67648--1yhc__B1_O67648,0.9455437400555731,0.5,True
6w08__B1_Q9KL63--6w08__A1_Q9KL63,0.9188365115345762,0.5,True
1reo__A1_Q6STF1--1reo__A2_Q6STF1,0.9585863827388273,0.5,True
8hyi__A1_P22223--8hyi__B1_P22223,0.7769695483890138,0.5,True
1t72__A1_O67053--1t72__B1_O67053,0.9741042254824825,0.5,True
5z1o__A1_D0VWU8--5z1o__B1_D0VWU8,0.7196501892256317,0.5,True
2p69__A1_Q96GD0--2p69__A2_Q96GD0,0.9735970896505475,0.5,True
2wyn__B1_P13482--2wyn__D1_P13482,0.8999688475570994,0.5,True
4wud__A1_P0AES6--4wud__A2_P0AES6,0.8862466633609568,0.5,True
6oe2__A1_Q8A9F0--6oe2__A2_Q8A9F0,0.9844226177922812,0.5,True
7cov__A1_Q06801--7cov__A2_Q06801,0.9212058269966138,0.5,True
2ecs__A1_P03040--2ecs__B1_P03040,0.7095181445372951,0.5,True
7czg__C1_Q8TDY2--7czg__A1_Q8TDY2,0.9548107059024089,0.5,True
3fmy__A1_Q46864--3fmy__A2_Q46864,0.6304527103539954,0.5,True
2qvc__A1_Q9WXW9--2qvc__B2_Q9WXW9,0.9857009394868923,0.5,True
3owf__A1_P00644--3owf__A2_P00644,0.4817596193009145,0.5,True
4ap5__A1_Q9Y2G5--4ap5__B1_Q9Y2G5,0.9558595428996529,0.5,True
6ikj__A1_Q9I4L6--6ikj__B1_Q9I4L6,0.7873716887417218,0.5,True
8pte__A1_P00698--8pte__A2_P00698,0.8806773747217711,0.5,True
8p7m__A1_P0A434--8p7m__A2_P0A434,0.9676724611835162,0.5,True
3szw__A1_B7JBP8--3szw__A2_B7JBP8,0.9882661148004933,0.5,True
7qga__A1_P21589--7qga__A2_P21589,0.961343643509597,0.5,True
6duy__A1_Q61301--6duy__B2_Q61301,0.7132364892671506,0.5,True
1mml__A1_P03355--1mml__A2_P03355,0.8882749753693907,0.5,True
7uay__A1_P08684--7uay__A2_P08684,0.9995679036100978,0.5,True
6yev__C1_P0A744--6yev__A1_P0AA25,0.8087013720148246,0.5,False
5fwt__A1_Q96MU8--5fwt__A2_Q96MU8,0.9049324674086283,0.5,True
7yo8__A1_P60520--7yo8__A2_P60520,0.5962866722979934,0.5,True
1ax2__A1_P16404--1ax2__A2_P16404,0.935274983303526,0.5,True
7dus__A1_P08965--7dus__A2_P08965,0.563328379568472,0.5,True
2hsa__B1_Q9FEW9--2hsa__A1_Q9FEW9,0.9917377990900559,0.5,True
7qh0__B1_P48499--7qh0__A1_P48499,0.9845327888208247,0.5,True
3pui__A1_Q9L9D7--3pui__A2_Q9L9D7,0.9752448093259931,0.5,True
1rqi__A1_P22939--1rqi__B1_P22939,0.9798886692509938,0.5,True
5uph__B1_Q14108--5uph__A1_Q14108,0.7853200634069645,0.5,True
6z68__A1_A0A1M6Y2K1--6z68__B1_A0A1M6Y2K1,0.9040521229415125,0.5,True
5yz5__A1_Q16555--5yz5__A2_Q16555,0.9529780846460583,0.5,True
4kjq__A1_P37019--4kjq__B1_P37019,0.9011702990328117,0.5,True
7t1e__A1_P78556--7t1e__B1_P78556,0.6011231720186944,0.5,True
8d0m__A1_P28907--8d0m__A2_P28907,0.9142905701221948,0.5,True
7y51__A1_Q8RBF4--7y51__A2_Q8RBF4,0.9006330764184076,0.5,True
5ab8__A1_P9WN25--5ab8__A2_P9WN25,0.7132148934465254,0.5,True
2wo2__A1_P54764--2wo2__B1_P52799,0.8877297015207983,0.5,False
4u66__A1_A8MI53--4u66__A2_A8MI53,0.9465015221890642,0.5,True
7tvh__B1_Q9I2Q1--7tvh__A1_Q9I2Q1,0.9736829738239579,0.5,True
6m4v__A1_P0AEX9--6m4v__B1_P62942,0.6331985561102064,0.5,False
7y28__A1_P07814--7y28__B1_P07814,0.9644632189450888,0.5,True
1rve__A1_P04390--1rve__B1_P04390,0.9849167935449089,0.5,True
3egv__A1_Q84BQ9--3egv__B1_Q5SLP6,0.7818541641694652,0.5,False
2afv__A1_Q8EXP7--2afv__B1_Q8EXP7,0.9341172871055721,0.5,True
7w93__A1_A0A140N873--7w93__A2_A0A140N873,0.9718086349584081,0.5,True
1wl3__B1_Q9X1M1--1wl3__A1_Q9X1M1,0.9727247821557615,0.5,True
