system_id,auroc,bacc,is_homodimer
8c9j__B1_P15559--8c9j__A1_P15559,0.907916720966252,0.5,True
5x1j__A1_G2IQS7--5x1j__A2_G2IQS7,0.7913365764225342,0.5,True
7tq1__A1_P0AC13--7tq1__A2_P0AC13,0.8428544451997884,0.5,True
7t5y__A1_P0A7E1--7t5y__B1_P0A7E1,0.5756509517569852,0.5,True
5c21__A1_P09986--5c21__B1_P09986,0.6233532153814076,0.5,True
7zvd__A1_P11413--7zvd__A2_P11413,0.985308736724859,0.5,True
2snw__A1_P03316--2snw__B1_P03316,0.747844913997033,0.5,True
7ynw__B2_Q57834--7ynw__A1_Q57834,0.9149490547930739,0.5,True
3qt7__A1_Q9FD73--3qt7__B1_Q9FD73,0.9310346114376341,0.5,True
4aye__D1_Q9JXV4--4aye__A1_P08603,0.8906703874399208,0.5,False
2if9__A1_Q98ZP7--2if9__B1_Q98ZP7,0.4820086676474097,0.5,True
7wbt__A1_Q288C4--7wbt__B1_Q288C4,0.8847677360319572,0.5,True
6pyp__A1_P21695--6pyp__B1_P21695,0.521859964288503,0.5,True
3nr1__A1_Q8N4P3--3nr1__B1_Q8N4P3,0.963296175648444,0.5,True
5or3__A1_Q2UNF9--5or3__D1_Q2UNF9,0.9403602373254392,0.5,True
1zlh__A1_P00730--1zlh__B1_Q5EPH2,0.8504129439965133,0.5,False
8b1s__A1_B0LPL6--8b1s__A2_B0LPL6,0.8713030879573418,0.5,True
1poy__A1_P0AFK9--1poy__B1_P0AFK9,0.6201194582978447,0.5,True
5n47__B1_P02751--5n47__A1_P80188,0.7673793474840864,0.5,False
7ol3__B1_Q8WXF7--7ol3__A1_Q8WXF7,0.6514380175811523,0.5,True
4hsl__A1_Q1LCS4--4hsl__A2_Q1LCS4,0.6802394241323411,0.5,True
1zrs__A1_Q9HTZ1--1zrs__B1_Q9HTZ1,0.7567693306938965,0.5,True
1na8__A1_Q9UJY5--1na8__B1_Q9UJY5,0.925754276648909,0.5,True
7z6m__A1_A0A0H3LM39--7z6m__A2_A0A0H3LM39,0.8728317822208368,0.5,True
